target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Fitnessmaybe.png,1,10,11,15.0,9.0,9.0,9,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Heinz.png,1,10,15,15.0,9.0,7.0,9,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\CocaCola2L.png,1,10,19,15.0,9.0,5.0,9,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\FuzeTea.png,1,10,23,15.0,9.0,3.0,9,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Cafeelite.png,1,10,27,15.0,9.0,0.0,9,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Prince.PNG,1,10,31,15.0,9.0,0.0,9,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\Fitnessmaybe.png,2,9,11,13.5,10.0,9.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\Heinz.png,2,9,15,13.5,10.0,7.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\CocaCola2L.png,2,9,19,13.5,10.0,5.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\FuzeTea.png,2,9,23,13.5,10.0,3.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\Cafeelite.png,2,9,27,13.5,10.0,0.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Colgatemaybe.png,stimuli\Prince.PNG,2,9,31,13.5,10.0,0.0,7,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\Fitnessmaybe.png,2,8,11,13.5,10.0,9.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\Heinz.png,2,8,15,13.5,10.0,7.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\CocaCola2L.png,2,8,19,13.5,10.0,5.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\FuzeTea.png,2,8,23,13.5,10.0,3.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\Cafeelite.png,2,8,27,13.5,10.0,0.0,6,0.0
stimuli\Zippersmallbag.png,stimuli\Splendid.PNG,stimuli\Prince.PNG,2,8,31,13.5,10.0,0.0,6,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\Fitnessmaybe.png,4,9,11,12.5,10.0,9.0,5,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\Heinz.png,4,9,15,12.5,10.0,7.0,5,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\CocaCola2L.png,4,9,19,12.5,10.0,5.0,5,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\FuzeTea.png,4,9,23,12.5,10.0,3.0,5,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\Cafeelite.png,4,9,27,12.5,10.0,0.0,5,0.0
stimuli\Zipperbigbag.png,stimuli\Colgatemaybe.png,stimuli\Prince.PNG,4,9,31,12.5,10.0,0.0,5,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Fitnessmaybe.png,3,6,11,13.5,10.0,9.0,3,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Heinz.png,3,6,15,13.5,10.0,7.0,3,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\CocaCola2L.png,3,6,19,13.5,10.0,5.0,3,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\FuzeTea.png,3,6,23,13.5,10.0,3.0,3,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Cafeelite.png,3,6,27,13.5,10.0,0.0,3,0.0
stimuli\Sano99.png,stimuli\Milka.PNG,stimuli\Prince.PNG,3,6,31,13.5,10.0,0.0,3,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\Fitnessmaybe.png,6,7,11,10.0,10.0,9.0,1,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\Heinz.png,6,7,15,10.0,10.0,7.0,1,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\CocaCola2L.png,6,7,19,10.0,10.0,5.0,1,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\FuzeTea.png,6,7,23,10.0,10.0,3.0,1,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\Cafeelite.png,6,7,27,10.0,10.0,0.0,1,0.0
stimuli\Milka.PNG,stimuli\YadMordechai.png,stimuli\Prince.PNG,6,7,31,10.0,10.0,0.0,1,0.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
