TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Colgatemaybe.png,1,0,4.032045,5.0758796,10.808572,5.767449,10,20,stimuli\Colgatemaybe.png,1,-5.5852137,--,--,--
2,stimuli\Fitnessmaybe.png,1,1,10.830086,11.875569,19.4248,7.578131,8,27,stimuli\Fitnessmaybe.png,1,-7.5211687,--,--,--
3,stimuli\Zippersmallbag.png,1,2,19.481676,20.508537,25.258318,4.7495923,12,46,stimuli\Zippersmallbag.png,1,-4.668909,--,--,--
4,stimuli\Prince.PNG,1,3,25.321815,26.358519,29.958265,3.6346402,0,40,stimuli\Prince.PNG,1,-3.6140518,--,--,--
5,stimuli\Wissotzky.png,1,4,29.997906,31.041649,37.157753,6.129822,15,47,stimuli\Wissotzky.png,1,-5.971755,--,--,--
6,stimuli\Milka.PNG,1,5,37.21722,38.24131,41.60775,3.388867,10,82,stimuli\Milka.PNG,1,-3.3411748,--,--,--
7,stimuli\Branflakesextra.png,1,6,41.634155,42.65775,51.107254,8.471741,5,64,stimuli\Branflakesextra.png,1,-8.161652,--,--,--
8,stimuli\Tuna_ToGo.png,1,7,51.16638,52.207306,58.656273,6.476652,0,94,stimuli\Tuna_ToGo.png,1,-6.2347393,--,--,--
9,stimuli\Barackemaybe.png,1,8,58.681953,59.70687,61.57327,1.8697927,0,96,stimuli\Barackemaybe.png,1,-1.8165317,--,--,--
10,stimuli\Zipperbigbag.png,1,9,61.59928,62.63983,72.938965,10.321857,15,26,stimuli\Zipperbigbag.png,1,-10.10733,--,--,--
11,stimuli\Filtunamaybe.png,1,10,72.96598,74.00596,75.8055,1.8223969,0,3,stimuli\Filtunamaybe.png,1,-1.6173272,--,--,--
12,stimuli\ParaChocolate.png,1,11,75.828354,76.85613,80.28859,3.4554224,4,65,stimuli\ParaChocolate.png,1,-3.2521024,--,--,--
13,stimuli\Branflakes.png,1,12,80.33695,81.37226,87.271614,5.924517,5,3,stimuli\Branflakes.png,1,-5.757973,--,--,--
14,stimuli\GelDeLin.png,1,13,87.29822,88.33892,96.5045,8.191689,0,74,stimuli\GelDeLin.png,1,-8.011974,--,--,--
15,stimuli\Chocolatemilk.png,1,14,96.53175,97.55508,105.02076,7.4818115,10,73,stimuli\Chocolatemilk.png,1,-7.14488,--,--,--
16,stimuli\Sano99.png,1,15,105.04335,106.088066,112.521065,6.4670105,12,5,stimuli\Sano99.png,1,-6.2210746,--,--,--
17,stimuli\Quakermaybe.png,1,16,112.54528,113.587395,115.78731,2.2145581,0,44,stimuli\Quakermaybe.png,1,-2.1245978,--,--,--
18,stimuli\ChocolateSpread.png,1,17,115.8121,116.837265,122.28684,5.46964,7,90,stimuli\ChocolateSpread.png,1,-5.1467853,--,--,--
19,stimuli\Fitness_Chocolate.png,1,18,122.34725,123.38693,129.51999,6.1433105,10,48,stimuli\Fitness_Chocolate.png,1,-5.9393644,--,--,--
20,stimuli\Heinz.png,1,19,129.55316,130.58684,135.35286,4.7926693,7,96,stimuli\Heinz.png,1,-4.7836823,--,--,--
21,stimuli\KifKef.PNG,1,20,135.41788,136.45331,140.28621,3.8394911,8,20,stimuli\KifKef.PNG,1,-3.4516947,--,--,--
22,stimuli\Neviot.PNG,1,21,140.31187,141.35298,147.61917,6.2732716,4,72,stimuli\Neviot.PNG,1,-5.88646,--,--,--
23,stimuli\CocaCola2L.png,1,22,147.64357,148.68575,154.13528,5.4799914,5,90,stimuli\CocaCola2L.png,1,-5.2919707,--,--,--
24,stimuli\FuzeTea.png,1,23,154.16006,155.18532,161.16823,6.0030074,3,99,stimuli\FuzeTea.png,1,-5.6955957,--,--,--
25,stimuli\Splendid.PNG,1,24,161.19199,162.2351,167.18468,4.9839344,10,32,stimuli\Splendid.PNG,1,-4.834245,--,--,--
26,stimuli\YadMordechai.png,1,25,167.21097,168.25145,175.78464,7.5591817,10,52,stimuli\YadMordechai.png,1,-7.2429028,--,--,--
27,stimuli\Oreo.PNG,1,26,175.82687,176.86801,181.73476,4.8994946,12,39,stimuli\Oreo.PNG,1,-4.815774,--,--,--
28,stimuli\FuseTeaGreen.png,1,27,181.76016,182.78412,185.51695,2.7525284,3,45,stimuli\FuseTeaGreen.png,1,-2.6166105,--,--,--
29,stimuli\Tapuchips.PNG,1,28,185.55653,186.60059,191.68375,5.0942073,4,15,stimuli\Tapuchips.PNG,1,-5.078575,--,--,--
30,stimuli\Kikkoman.png,1,29,191.71098,192.7503,197.00032,4.280313,10,3,stimuli\Kikkoman.png,1,-4.0271516,--,--,--
31,stimuli\Smarties.PNG,1,30,197.04083,198.06702,202.41629,4.3712225,2,3,stimuli\Smarties.PNG,1,-4.303728,--,--,--
32,stimuli\Cafeelite.png,1,31,202.46072,203.48312,205.18307,1.6966282,0,2,stimuli\Cafeelite.png,1,-1.4055647,101,27,Right
