TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Filtunamaybe.png,1,0,209.12003,210.14977,212.16678,2.0376914,0,60,stimuli\Filtunamaybe.png,2,-1.8019644,--,--,--
2,stimuli\CocaCola2L.png,1,1,212.1887,213.23297,217.78275,4.5831037,5,3,stimuli\CocaCola2L.png,2,-4.4414287,--,--,--
3,stimuli\Zippersmallbag.png,1,2,217.83643,218.88274,226.14873,7.2788196,15,36,stimuli\Zippersmallbag.png,2,-6.8930407,--,--,--
4,stimuli\Milka.PNG,1,3,226.20436,227.24898,231.21495,3.9958358,10,46,stimuli\Milka.PNG,2,-3.667694,--,--,--
5,stimuli\Barackemaybe.png,1,4,231.2374,232.2654,234.24811,2.0078287,0,67,stimuli\Barackemaybe.png,2,-1.9119579,--,--,--
6,stimuli\FuzeTea.png,1,5,234.2708,235.31493,239.01436,3.728588,3,93,stimuli\FuzeTea.png,2,-3.6601818,--,--,--
7,stimuli\Branflakesextra.png,1,6,239.03902,240.06429,242.69774,2.6514251,5,20,stimuli\Branflakesextra.png,2,-2.4674737,--,--,--
8,stimuli\KifKef.PNG,1,7,242.75839,243.79828,246.7645,2.9696858,7,87,stimuli\KifKef.PNG,2,-2.7053223,--,--,--
9,stimuli\Branflakes.png,1,8,246.81201,247.84799,252.0975,4.2541685,5,55,stimuli\Branflakes.png,2,-4.0144997,--,--,--
10,stimuli\ChocolateSpread.png,1,9,252.12216,253.16438,257.01352,3.8788288,7,64,stimuli\ChocolateSpread.png,2,-3.5725162,--,--,--
11,stimuli\GelDeLin.png,1,10,257.038,258.0642,261.86392,3.8183186,0,92,stimuli\GelDeLin.png,2,-3.7116337,--,--,--
12,stimuli\FuseTeaGreen.png,1,11,261.88715,262.91394,265.36356,2.4480183,3,36,stimuli\FuseTeaGreen.png,2,-2.4070942,--,--,--
13,stimuli\Colgatemaybe.png,1,12,265.38562,266.41345,274.996,8.605126,10,29,stimuli\Colgatemaybe.png,2,-8.2371435,--,--,--
14,stimuli\Wissotzky.png,1,13,275.03415,276.08002,280.16324,4.116402,15,27,stimuli\Wissotzky.png,2,-3.9405918,--,--,--
15,stimuli\Sano99.png,1,14,280.1842,281.2297,290.79578,9.579984,15,0,stimuli\Sano99.png,2,-9.30462,--,--,--
16,stimuli\Neviot.PNG,1,15,290.81863,291.86224,294.22842,2.3958673,4,33,stimuli\Neviot.PNG,2,-2.2259138,--,--,--
17,stimuli\Tapuchips.PNG,1,16,294.26706,295.29538,301.46213,6.192891,4,66,stimuli\Tapuchips.PNG,2,-5.9457297,--,--,--
18,stimuli\Oreo.PNG,1,17,301.50247,302.5284,310.39493,7.8918643,10,96,stimuli\Oreo.PNG,2,-7.7530446,--,--,--
19,stimuli\Fitness_Chocolate.png,1,18,310.45566,311.49496,316.694,5.2303047,5,92,stimuli\Fitness_Chocolate.png,2,-5.1673627,--,--,--
20,stimuli\YadMordechai.png,1,19,316.71915,317.76132,322.0776,4.344287,10,10,stimuli\YadMordechai.png,2,-4.0087705,--,--,--
21,stimuli\Tuna_ToGo.png,1,20,322.1355,323.17776,324.34406,1.1741914,0,56,stimuli\Tuna_ToGo.png,2,-0.8934218,--,--,--
22,stimuli\Splendid.PNG,1,21,324.36612,325.39432,328.77753,3.4044175,10,34,stimuli\Splendid.PNG,2,-3.1869814,--,--,--
23,stimuli\Smarties.PNG,1,22,328.8165,329.8438,334.12656,4.3011255,2,52,stimuli\Smarties.PNG,2,-4.280106,--,--,--
24,stimuli\Fitnessmaybe.png,1,23,334.14716,335.17715,337.9602,2.8132925,10,48,stimuli\Fitnessmaybe.png,2,-2.5919876,--,--,--
25,stimuli\Quakermaybe.png,1,24,337.98398,339.02667,340.24347,1.2481197,0,17,stimuli\Quakermaybe.png,2,-0.95336825,--,--,--
26,stimuli\Kikkoman.png,1,25,340.26764,341.29355,345.82614,4.5549912,7,71,stimuli\Kikkoman.png,2,-4.283822,--,--,--
27,stimuli\Heinz.png,1,26,345.8585,346.89328,351.20944,4.321598,7,11,stimuli\Heinz.png,2,-4.037791,--,--,--
28,stimuli\Chocolatemilk.png,1,27,351.23376,352.27603,357.74295,5.4979973,8,20,stimuli\Chocolatemilk.png,2,-5.439943,--,--,--
29,stimuli\ParaChocolate.png,1,28,357.76343,358.79272,363.60895,4.835651,4,54,stimuli\ParaChocolate.png,2,-4.4634037,--,--,--
30,stimuli\Cafeelite.png,1,29,363.65155,364.69208,365.5754,0.8957892,0,65,stimuli\Cafeelite.png,2,-0.5108516,--,--,--
31,stimuli\Zipperbigbag.png,1,30,365.599,366.6423,374.7079,8.090505,10,95,stimuli\Zipperbigbag.png,2,-7.81554,--,--,--
32,stimuli\Prince.PNG,1,31,374.76703,375.80856,377.2916,1.4921604,0,58,stimuli\Prince.PNG,2,-1.4442526,101,27,Right
,,,,,,,,10,,,,,,,
,,,,,,,,8,,,,,,,
,,,,,,,,12,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,15,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,5,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,15,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,4,,,,,,,
,,,,,,,,5,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,12,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,7,,,,,,,
,,,,,,,,10,6.125,,,,,,
,,,,,,,,7,4.604685114,,,,,,
,,,,,,,,8,,,,,,,
,,,,,,,,4,,,,,,,
,,,,,,,,5,,,,,,,
,,,,,,,,3,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,12,,,,,,,
,,,,,,,,3,,,,,,,
,,,,,,,,4,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,2,,,,,,,
,,,,,,,,0,,,,,,,
