success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,FALSE
,,,,,html-keyboard-response,17,92896,0.0-3.0-0.7,103,637,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\YadMordechai.png', width=""115.67164179104476"", height=""300""></span></span>
                    </p>",2,trinary,,target2,target1,distractor,stimuli\Branflakesextra.png,stimuli\Prince.PNG,stimuli\YadMordechai.png,1,10,15,82,64,55.66666667,9,0,target1,,FALSE
,,,,,html-keyboard-response,18,102283,0.0-3.0-1.7,103,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,19,103031,0.0-3.0-0.8,103,741,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Sano99.png,stimuli\Prince.PNG,stimuli\Zippersmallbag.png,4,10,11,75.66666667,64,58.33333333,6,0,target2,,FALSE
,,,,,html-keyboard-response,20,112273,0.0-3.0-1.8,103,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,21,112838,0.0-3.0-0.9,103,560,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Colgatemaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\Colgatemaybe.png,stimuli\ChocolateSpread.png,stimuli\Zippersmallbag.png,3,8,11,80.66666667,68.33333333,58.33333333,5,0,target2,,FALSE
,,,,,html-keyboard-response,22,122572,0.0-3.0-1.9,103,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,23,123433,0.0-3.0-0.10,103,854,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Fitnessmaybe.png', width=""300"", height=""181.875""></span></span>
                      <span><span><img src='stimuli\Colgatemaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target1,target2,stimuli\Colgatemaybe.png,stimuli\ChocolateSpread.png,stimuli\Fitnessmaybe.png,3,8,19,80.66666667,68.33333333,47.66666667,5,0,distractor,,FALSE
,,,,,html-keyboard-response,24,132893,0.0-3.0-1.10,103,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,25,133606,0.0-3.0-0.11,103,707,"
                    <p class=""options"">
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\GelDeLin.png,stimuli\Quakermaybe.png,stimuli\Zippersmallbag.png,5,6,11,74.66666667,73,58.33333333,1,0,target2,,FALSE
,,,,,html-keyboard-response,26,142484,0.0-3.0-1.11,103,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,TRUE
