TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Fitness_Chocolate.png,1,0,4.793997,5.824476,29.690422,23.893896,40,4,stimuli\Fitness_Chocolate.png,1,-23.80447,--,--,--
2,stimuli\YadMordechai.png,1,1,29.714355,30.740273,49.05536,18.332249,65,68,stimuli\YadMordechai.png,1,-18.074554,--,--,--
3,stimuli\Tuna_ToGo.png,1,2,49.113598,50.156017,58.70562,8.585208,20,49,stimuli\Tuna_ToGo.png,1,-8.51107,--,--,--
4,stimuli\Neviot.PNG,1,3,58.72948,59.755547,68.75504,9.018701,35,40,stimuli\Neviot.PNG,1,-8.642175,--,--,--
5,stimuli\GelDeLin.png,1,4,68.779015,69.82143,79.504555,9.716657,65,18,stimuli\GelDeLin.png,1,-9.452756,--,--,--
6,stimuli\Zipperbigbag.png,1,5,79.52802,80.55467,93.23699,12.683465,70,44,stimuli\Zipperbigbag.png,1,-12.585287,--,--,--
7,stimuli\Sano99.png,1,6,93.25948,94.28725,110.15303,15.892813,85,92,stimuli\Sano99.png,1,-15.616273,--,--,--
8,stimuli\Milka.PNG,1,7,110.208664,111.25276,120.169266,8.946623,30,72,stimuli\Milka.PNG,1,-8.65449,--,--,--
9,stimuli\Tapuchips.PNG,1,8,120.207886,121.23598,125.535446,4.3020587,45,22,stimuli\Tapuchips.PNG,1,-3.9213173,--,--,--
10,stimuli\Barackemaybe.png,1,9,125.55767,126.58562,134.10176,7.520268,50,32,stimuli\Barackemaybe.png,1,-7.3166995,--,--,--
11,stimuli\Oreo.PNG,1,10,134.14218,135.1683,143.18437,8.038182,65,13,stimuli\Oreo.PNG,1,-7.8905435,--,--,--
12,stimuli\Kikkoman.png,1,11,143.21007,144.25119,148.96725,4.7381887,80,54,stimuli\Kikkoman.png,1,-4.601968,--,--,--
13,stimuli\ParaChocolate.png,1,12,148.98888,150.01811,162.26666,12.267225,56,62,stimuli\ParaChocolate.png,1,-12.129489,--,--,--
14,stimuli\Filtunamaybe.png,1,13,162.29167,163.3336,174.68341,11.379678,30,72,stimuli\Filtunamaybe.png,1,-11.278798,--,--,--
15,stimuli\KifKef.PNG,1,14,174.74693,175.78331,185.63258,9.851539,36,66,stimuli\KifKef.PNG,1,-9.814524,--,--,--
16,stimuli\Quakermaybe.png,1,15,185.65723,186.68277,198.79866,12.117056,75,41,stimuli\Quakermaybe.png,1,-12.042418,--,--,--
17,stimuli\CocaCola2L.png,1,16,198.82146,199.84854,207.08176,7.2585225,40,72,stimuli\CocaCola2L.png,1,-6.8679023,--,--,--
18,stimuli\Heinz.png,1,17,207.11382,208.14845,217.54774,9.406489,57,2,stimuli\Heinz.png,1,-9.21895,--,--,--
19,stimuli\FuseTeaGreen.png,1,18,217.57193,218.61464,231.33047,12.739288,40,59,stimuli\FuseTeaGreen.png,1,-12.618261,--,--,--
20,stimuli\Prince.PNG,1,19,231.38965,232.43063,238.96355,6.5615187,67,8,stimuli\Prince.PNG,1,-6.399471,--,--,--
21,stimuli\Smarties.PNG,1,20,239.00246,240.04698,245.8634,5.849152,20,58,stimuli\Smarties.PNG,1,-5.629875,--,--,--
22,stimuli\Fitnessmaybe.png,1,21,245.88342,246.91321,262.92914,16.037336,37,41,stimuli\Fitnessmaybe.png,1,-15.951442,--,--,--
23,stimuli\Zippersmallbag.png,1,22,262.98175,264.01212,281.04468,17.04055,45,28,stimuli\Zippersmallbag.png,1,-16.997025,--,--,--
24,stimuli\ChocolateSpread.png,1,23,281.06982,282.11154,291.4775,9.37247,67,68,stimuli\ChocolateSpread.png,1,-9.112624,--,--,--
25,stimuli\Colgatemaybe.png,1,24,291.5002,292.52744,296.3609,3.8551269,82,60,stimuli\Colgatemaybe.png,1,-3.764364,--,--,--
26,stimuli\Cafeelite.png,1,25,296.4041,297.44415,301.5937,4.1554365,65,50,stimuli\Cafeelite.png,1,-4.0032673,--,--,--
27,stimuli\Splendid.PNG,1,26,301.6161,302.64386,310.34286,7.7209783,55,11,stimuli\Splendid.PNG,1,-7.5360045,--,--,--
28,stimuli\FuzeTea.png,1,27,310.36597,311.39322,318.64285,7.248589,37,76,stimuli\FuzeTea.png,1,-7.0439973,--,--,--
29,stimuli\Chocolatemilk.png,1,28,318.66858,319.69278,331.84225,12.150526,47,49,stimuli\Chocolatemilk.png,1,-11.888553,--,--,--
30,stimuli\Wissotzky.png,1,29,331.87976,332.92587,339.6922,6.8010416,56,18,stimuli\Wissotzky.png,1,-6.6795216,--,--,--
31,stimuli\Branflakesextra.png,1,30,339.71588,340.7418,344.59164,3.8509772,82,88,stimuli\Branflakesextra.png,1,-3.4585993,--,--,--
32,stimuli\Branflakes.png,1,31,344.63876,345.67517,352.80792,7.138522,82,42,stimuli\Branflakes.png,1,-6.942295,103,23,Right
,,,,,,,,27,,,,,,,
,,,,,,,,62,,,,,,,
,,,,,,,,37,,,,51.39583333,51.39583333,19.40976943,
,,,,,,,,62,,51.39583333,,19.40976943,,,
,,,,,,,,80,,19.40976943,,,,,
,,,,,,,,52,,,,,,,
,,,,,,,,67,,,,,,,
,,,,,,,,42,,,,,,,
,,,,,,,,42,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,52,,,,,,,
,,,,,,,,37,,,,,,,
,,,,,,,,20,,,,,,,
,,,,,,,,62,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,52,,,,,,,
,,,,,,,,62,,,,,,,
,,,,,,,,15,,,,,,,
,,,,,,,,37,,,,,,,
,,,,,,,,64,,,,,,,
,,,,,,,,64,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,38,,,,,,,
,,,,,,,,48,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,18,,,,,,,
,,,,,,,,79,,,,,,,
,,,,,,,,36,,,,,,,
,,,,,,,,72,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,32,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,72,,,,,,,
,,,,,,,,37,,,,,,,
,,,,,,,,18,,,,,,,
,,,,,,,,82,,,,,,,
,,,,,,,,25,,,,,,,
,,,,,,,,74,,,,,,,
,,,,,,,,32,,,,,,,
,,,,,,,,10,,,,,,,
,,,,,,,,18,,,,,,,
,,,,,,,,72,,,,,,,
,,,,,,,,28,,,,,,,
,,,,,,,,26,,,,,,,
,,,,,,,,29,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,54,,,,,,,
,,,,,,,,56,,,,,,,
,,,,,,,,52,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,80,,,,,,,
,,,,,,,,47,,,,,,,
,,,,,,,,63,,,,,,,
,,,,,,,,65,,,,,,,
,,,,,,,,80,,,,,,,
,,,,,,,,38,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,80,,,,,,,
,,,,,,,,52,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,55,,,,,,,
