stimulus_id,ev_num_run5,ev_num_run3,ev_num_run2,ev_num_run1,ev_num_run4
1,17,15,24,2,5
2,19,4,1,22,13
3,33,17,18,26,27
4,16,29,12,5,7
5,35,26,32,1,1
6,31,23,5,35,12
7,8,12,31,33,25
8,25,13,14,28,3
9,10,9,11,19,36
10,36,21,7,3,14
11,6,11,29,37,10
12,34,20,17,30,4
13,1,28,27,34,22
14,30,14,10,29,26
15,14,10,19,17,35
16,4,31,35,9,31
17,13,2,3,27,6
18,37,36,33,31,34
19,11,8,20,12,16
20,26,18,28,20,23
21,22,25,8,10,30
22,9,24,9,36,18
23,32,27,21,32,9
24,7,37,13,8,2
25,2,6,34,23,28
26,12,7,16,11,11
27,23,33,4,21,17
28,18,19,2,14,8
29,15,30,22,6,15
30,28,32,23,13,32
31,27,1,15,18,37
32,5,16,37,16,20
33,21,22,36,24,19
34,20,5,25,7,29
35,29,35,26,25,24
36,24,34,30,15,33
37,3,3,6,4,21
