TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Sano99.png,1.0,0.0,403.9117,404.9467,406.96295,2.017706,9.0,51.0,stimuli\Sano99.png,3.0,-1.8428621,--,--,--
2,stimuli\Splendid.PNG,1.0,1.0,406.9847,408.01288,409.3291,1.3321253,85.0,70.0,stimuli\Splendid.PNG,3.0,-1.3181039,--,--,--
3,stimuli\Fitness_Chocolate.png,1.0,2.0,409.3882,410.4294,412.1797,1.7808636,54.0,73.0,stimuli\Fitness_Chocolate.png,3.0,-1.467319,--,--,--
4,stimuli\FuseTeaGreen.png,1.0,3.0,412.2029,413.2294,415.1788,1.9677311,51.0,100.0,stimuli\FuseTeaGreen.png,3.0,-1.8561013,--,--,--
5,stimuli\Filtunamaybe.png,1.0,4.0,415.20367,416.24615,418.02866,1.8125714,89.0,78.0,stimuli\Filtunamaybe.png,3.0,-1.7961243,--,--,--
6,stimuli\Fitnessmaybe.png,1.0,5.0,418.0493,419.0789,421.74567,2.6649077,18.0,2.0,stimuli\Fitnessmaybe.png,3.0,-2.4307883,--,--,--
7,stimuli\Zippersmallbag.png,1.0,6.0,421.79834,422.82883,424.0289,1.200023,14.0,23.0,stimuli\Zippersmallbag.png,3.0,-0.8858692,--,--,--
8,stimuli\YadMordechai.png,1.0,7.0,424.05286,425.09537,427.54532,2.474522,36.0,61.0,stimuli\YadMordechai.png,3.0,-2.44327,--,--,--
9,stimuli\Oreo.PNG,1.0,8.0,427.58984,428.6289,429.9455,1.3446281,54.0,27.0,stimuli\Oreo.PNG,3.0,-1.0243505,--,--,--
10,stimuli\ParaChocolate.png,1.0,9.0,429.96674,430.99545,432.56177,1.5692627,48.0,88.0,stimuli\ParaChocolate.png,3.0,-1.4549302,--,--,--
11,stimuli\Colgatemaybe.png,1.0,10.0,432.585,433.62836,436.19522,2.596599,46.0,7.0,stimuli\Colgatemaybe.png,3.0,-2.470117,--,--,--
12,stimuli\KifKef.PNG,1.0,11.0,436.25592,437.29514,438.8452,1.578382,33.0,65.0,stimuli\KifKef.PNG,3.0,-1.4261832,--,--,--
13,stimuli\Cafeelite.png,1.0,12.0,438.88953,439.92834,441.59424,1.6972114,47.0,11.0,stimuli\Cafeelite.png,3.0,-1.4693575,--,--,--
14,stimuli\Prince.PNG,1.0,13.0,441.65338,442.69492,444.07745,1.4073809,30.0,41.0,stimuli\Prince.PNG,3.0,-1.1943061,--,--,--
15,stimuli\Quakermaybe.png,1.0,14.0,444.10178,445.14478,446.82733,1.7064441,82.0,30.0,stimuli\Quakermaybe.png,3.0,-1.5944895,--,--,--
16,stimuli\Zipperbigbag.png,1.0,15.0,446.85086,447.878,449.72784,1.8740749,8.0,64.0,stimuli\Zipperbigbag.png,3.0,-1.4925007,--,--,--
17,stimuli\Kikkoman.png,1.0,16.0,449.75156,450.7775,452.01038,1.2510887,82.0,52.0,stimuli\Kikkoman.png,3.0,-1.0895569,--,--,--
18,stimuli\Branflakesextra.png,1.0,17.0,452.0338,453.06076,456.0274,2.9868376,82.0,57.0,stimuli\Branflakesextra.png,3.0,-2.812727,--,--,--
19,stimuli\FuzeTea.png,1.0,18.0,456.04916,457.07748,458.29404,1.244291,71.0,26.0,stimuli\FuzeTea.png,3.0,-1.0717055,--,--,--
20,stimuli\Neviot.PNG,1.0,19.0,458.3165,459.34338,461.42657,2.098903,42.0,4.0,stimuli\Neviot.PNG,3.0,-2.0931697,--,--,--
21,stimuli\GelDeLin.png,1.0,20.0,461.45038,462.49362,463.8765,1.4128886,6.0,22.0,stimuli\GelDeLin.png,3.0,-1.1771028,--,--,--
22,stimuli\Tapuchips.PNG,1.0,21.0,463.91516,464.96048,469.46112,4.5366445,35.0,82.0,stimuli\Tapuchips.PNG,3.0,-4.3585215,--,--,--
23,stimuli\Barackemaybe.png,1.0,22.0,469.48264,470.51025,473.0932,2.6006124,45.0,76.0,stimuli\Barackemaybe.png,3.0,-2.31673,--,--,--
24,stimuli\Heinz.png,1.0,23.0,473.1251,474.1598,475.90924,1.7665484,51.0,19.0,stimuli\Heinz.png,3.0,-1.4327859,--,--,--
25,stimuli\Tuna_ToGo.png,1.0,24.0,475.96738,476.99326,480.80902,3.8327007,88.0,99.0,stimuli\Tuna_ToGo.png,3.0,-3.6616197,--,--,--
26,stimuli\Chocolatemilk.png,1.0,25.0,480.83585,481.87628,484.5761,2.7305741,4.0,37.0,stimuli\Chocolatemilk.png,3.0,-2.5034041,--,--,--
27,stimuli\Wissotzky.png,1.0,26.0,484.61368,485.64285,487.94263,2.3246186,6.0,96.0,stimuli\Wissotzky.png,3.0,-2.2807634,--,--,--
28,stimuli\Branflakes.png,1.0,27.0,487.98846,489.02603,490.74274,1.7458775,94.0,82.0,stimuli\Branflakes.png,3.0,-1.6969285,--,--,--
29,stimuli\Smarties.PNG,1.0,28.0,490.78152,491.8259,493.30884,1.4966955,6.0,28.0,stimuli\Smarties.PNG,3.0,-1.1343567,--,--,--
30,stimuli\Milka.PNG,1.0,29.0,493.36383,494.4091,499.49295,5.1211367,59.0,48.0,stimuli\Milka.PNG,3.0,-4.9219637,--,--,--
31,stimuli\CocaCola2L.png,1.0,30.0,499.5157,500.54208,502.3251,1.7832638,70.0,70.0,stimuli\CocaCola2L.png,3.0,-1.4881653,--,--,--
32,stimuli\ChocolateSpread.png,1.0,31.0,502.34818,503.3746,505.52493,2.1517787,42.0,60.0,stimuli\ChocolateSpread.png,3.0,-1.9794061,104,23,Right
