TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Oreo.PNG,1.0,0.0,2.8619845,3.912131,4.179188,0.3063512,51.0,51.0,stimuli\Oreo.PNG,1.0,-0.043905903,--,--,--
2,stimuli\Chocolatemilk.png,1.0,1.0,4.2040563,5.229111,5.61227,0.4067164,64.0,66.0,stimuli\Chocolatemilk.png,1.0,-0.32662547,--,--,--
3,stimuli\Smarties.PNG,1.0,2.0,5.650897,6.6789393,6.9790273,0.3252596,40.0,50.0,stimuli\Smarties.PNG,1.0,0.05106559,--,--,--
4,stimuli\GelDeLin.png,1.0,3.0,7.053679,8.09523,8.345892,0.2802165,37.0,37.0,stimuli\GelDeLin.png,1.0,-0.13622008,--,--,--
5,stimuli\Fitness_Chocolate.png,1.0,4.0,8.407713,9.44554,9.77812,0.3590123,75.0,75.0,stimuli\Fitness_Chocolate.png,1.0,-0.2987826,--,--,--
6,stimuli\Wissotzky.png,1.0,5.0,9.816593,10.845437,11.045149,0.2001151,40.0,62.0,stimuli\Wissotzky.png,1.0,-0.15458368,--,--,--
7,stimuli\ChocolateSpread.png,1.0,6.0,11.068382,12.112045,12.32861,0.2483788,74.0,94.0,stimuli\ChocolateSpread.png,1.0,0.09993528,--,--,--
8,stimuli\Cafeelite.png,1.0,7.0,12.471038,13.512038,14.145253,0.6678958,81.0,81.0,stimuli\Cafeelite.png,1.0,-0.38149694,--,--,--
9,stimuli\Neviot.PNG,1.0,8.0,14.168711,15.211912,16.211306,1.0317713,91.0,90.0,stimuli\Neviot.PNG,1.0,-0.97485125,--,--,--
10,stimuli\FuseTeaGreen.png,1.0,9.0,16.234987,17.26147,18.161804,0.9265362,90.0,88.0,stimuli\FuseTeaGreen.png,1.0,-0.6875428,--,--,--
11,stimuli\Branflakes.png,1.0,10.0,18.208263,19.245014,20.344728,1.1001931,53.0,52.0,stimuli\Branflakes.png,1.0,-0.9643707,--,--,--
12,stimuli\Heinz.png,1.0,11.0,20.37719,21.41165,21.711388,0.3204092,14.0,14.0,stimuli\Heinz.png,1.0,-0.022085873,--,--,--
13,stimuli\Prince.PNG,1.0,12.0,21.771862,22.811579,23.64477,0.8404018,25.0,24.0,stimuli\Prince.PNG,1.0,-0.81198364,--,--,--
14,stimuli\KifKef.PNG,1.0,13.0,23.711449,24.74478,25.211538,0.4903568,46.0,46.0,stimuli\KifKef.PNG,1.0,-0.22872147,--,--,--
15,stimuli\Kikkoman.png,1.0,14.0,25.238186,26.277952,26.778006,0.5289104,2.0,2.0,stimuli\Kikkoman.png,1.0,-0.34347755,--,--,--
16,stimuli\Tuna_ToGo.png,1.0,15.0,26.836182,27.861336,28.162022,0.325328,86.0,86.0,stimuli\Tuna_ToGo.png,1.0,-0.27498126,--,--,--
17,stimuli\YadMordechai.png,1.0,16.0,28.186672,29.22758,29.961418,0.7619696,14.0,14.0,stimuli\YadMordechai.png,1.0,-0.6522589,--,--,--
18,stimuli\Barackemaybe.png,1.0,17.0,29.98283,31.027811,31.59416,0.5764001,34.0,34.0,stimuli\Barackemaybe.png,1.0,-0.45853686,--,--,--
19,stimuli\CocaCola2L.png,1.0,18.0,31.617102,32.660736,33.227417,0.5757917,52.0,52.0,stimuli\CocaCola2L.png,1.0,-0.53990185,--,--,--
20,stimuli\Filtunamaybe.png,1.0,19.0,33.252556,34.294014,34.74435,0.4826974,14.0,14.0,stimuli\Filtunamaybe.png,1.0,-0.46386185,--,--,--
21,stimuli\Milka.PNG,1.0,20.0,34.80031,35.827564,36.243507,0.4331924,35.0,35.0,stimuli\Milka.PNG,1.0,-0.17130072,--,--,--
22,stimuli\Sano99.png,1.0,21.0,36.26705,37.294273,37.526802,0.2518181,59.0,59.0,stimuli\Sano99.png,1.0,-0.022396028,--,--,--
23,stimuli\Zipperbigbag.png,1.0,22.0,37.550488,38.57713,38.643803,0.0648111,23.0,23.0,stimuli\Zipperbigbag.png,1.0,0.0074833683,--,--,--
24,stimuli\Branflakesextra.png,1.0,23.0,38.675323,39.710667,39.92709,0.2264666,95.0,95.0,stimuli\Branflakesextra.png,1.0,0.12090002,--,--,--
25,stimuli\Zippersmallbag.png,1.0,24.0,40.100998,41.143986,41.14404,0.0,84.0,84.0,stimuli\Zippersmallbag.png,1.0,0.29038495,--,--,--
26,stimuli\Quakermaybe.png,1.0,25.0,41.4657,42.49358,42.59366,0.0993769,79.0,79.0,stimuli\Quakermaybe.png,1.0,0.09222108,--,--,--
27,stimuli\Colgatemaybe.png,1.0,26.0,42.707825,43.74353,43.94359,0.2086767,30.0,30.0,stimuli\Colgatemaybe.png,1.0,0.17696038,--,--,--
28,stimuli\FuzeTea.png,1.0,27.0,44.14303,45.177128,45.177185,0.0,73.0,73.0,stimuli\FuzeTea.png,1.0,0.2788395,--,--,--
29,stimuli\Splendid.PNG,1.0,28.0,45.478638,46.51005,46.51013,0.0,90.0,90.0,stimuli\Splendid.PNG,1.0,0.2551299,--,--,--
30,stimuli\ParaChocolate.png,1.0,29.0,46.78935,47.826664,48.026432,0.2238297,52.0,52.0,stimuli\ParaChocolate.png,1.0,-0.21960795,--,--,--
31,stimuli\Tapuchips.PNG,1.0,30.0,48.064354,49.093277,50.126656,1.0335124,56.0,56.0,stimuli\Tapuchips.PNG,1.0,-0.7766367,--,--,--
32,stimuli\Fitnessmaybe.png,1.0,31.0,50.14689,51.176785,51.893353,0.7377839,46.0,46.0,stimuli\Fitnessmaybe.png,1.0,-0.51422554,998,44,Right
