target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Tapuchips.PNG,1,10,11,67.33333333333333,62.333333333333336,61.333333333333336,9,0.0
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Quakermaybe.png,1,10,15,67.33333333333333,62.333333333333336,55.666666666666664,9,0.0
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Barackemaybe.png,1,10,19,67.33333333333333,62.333333333333336,50.666666666666664,9,0.0
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Heinz.png,1,10,23,67.33333333333333,62.333333333333336,41.0,9,0.0
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Zipperbigbag.png,1,10,27,67.33333333333333,62.333333333333336,36.666666666666664,9,0.0
stimuli\Oreo.PNG,stimuli\Chocolatemilk.png,stimuli\Kikkoman.png,1,10,31,67.33333333333333,62.333333333333336,27.666666666666668,9,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Tapuchips.PNG,2,9,11,66.66666666666667,62.666666666666664,61.333333333333336,7,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Quakermaybe.png,2,9,15,66.66666666666667,62.666666666666664,55.666666666666664,7,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Barackemaybe.png,2,9,19,66.66666666666667,62.666666666666664,50.666666666666664,7,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Heinz.png,2,9,23,66.66666666666667,62.666666666666664,41.0,7,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Zipperbigbag.png,2,9,27,66.66666666666667,62.666666666666664,36.666666666666664,7,0.0
stimuli\Tuna_ToGo.png,stimuli\Fitness_Chocolate.png,stimuli\Kikkoman.png,2,9,31,66.66666666666667,62.666666666666664,27.666666666666668,7,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Tapuchips.PNG,4,10,11,66.0,62.333333333333336,61.333333333333336,6,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Quakermaybe.png,4,10,15,66.0,62.333333333333336,55.666666666666664,6,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Barackemaybe.png,4,10,19,66.0,62.333333333333336,50.666666666666664,6,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Heinz.png,4,10,23,66.0,62.333333333333336,41.0,6,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Zipperbigbag.png,4,10,27,66.0,62.333333333333336,36.666666666666664,6,0.0
stimuli\Wissotzky.png,stimuli\Chocolatemilk.png,stimuli\Kikkoman.png,4,10,31,66.0,62.333333333333336,27.666666666666668,6,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Tapuchips.PNG,3,8,11,66.66666666666667,64.0,61.333333333333336,5,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Quakermaybe.png,3,8,15,66.66666666666667,64.0,55.666666666666664,5,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Barackemaybe.png,3,8,19,66.66666666666667,64.0,50.666666666666664,5,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Heinz.png,3,8,23,66.66666666666667,64.0,41.0,5,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Zipperbigbag.png,3,8,27,66.66666666666667,64.0,36.666666666666664,5,0.0
stimuli\FuzeTea.png,stimuli\Cafeelite.png,stimuli\Kikkoman.png,3,8,31,66.66666666666667,64.0,27.666666666666668,5,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Tapuchips.PNG,4,7,11,66.0,64.33333333333333,61.333333333333336,3,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Quakermaybe.png,4,7,15,66.0,64.33333333333333,55.666666666666664,3,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Barackemaybe.png,4,7,19,66.0,64.33333333333333,50.666666666666664,3,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Heinz.png,4,7,23,66.0,64.33333333333333,41.0,3,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Zipperbigbag.png,4,7,27,66.0,64.33333333333333,36.666666666666664,3,0.0
stimuli\Wissotzky.png,stimuli\Milka.PNG,stimuli\Kikkoman.png,4,7,31,66.0,64.33333333333333,27.666666666666668,3,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Tapuchips.PNG,5,6,11,65.0,65.0,61.333333333333336,1,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Quakermaybe.png,5,6,15,65.0,65.0,55.666666666666664,1,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Barackemaybe.png,5,6,19,65.0,65.0,50.666666666666664,1,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Heinz.png,5,6,23,65.0,65.0,41.0,1,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Zipperbigbag.png,5,6,27,65.0,65.0,36.666666666666664,1,0.0
stimuli\Colgatemaybe.png,stimuli\Smarties.PNG,stimuli\Kikkoman.png,5,6,31,65.0,65.0,27.666666666666668,1,0.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
0.0,0.0,0.0,,,,,,,,1.0
