TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Tapuchips.PNG,1.0,0.0,111.74254,112.77353,113.84056,1.0875804,39.0,39.0,stimuli\Tapuchips.PNG,3.0,-0.96986896,--,--,--
2,stimuli\CocaCola2L.png,1.0,1.0,113.86428,114.890495,115.556786,0.6676022,47.0,47.0,stimuli\CocaCola2L.png,3.0,-0.45260638,--,--,--
3,stimuli\Filtunamaybe.png,1.0,2.0,115.581505,116.60698,116.73962,0.1512681,18.0,18.0,stimuli\Filtunamaybe.png,3.0,-0.114523225,--,--,--
4,stimuli\Fitness_Chocolate.png,1.0,3.0,116.79862,117.8236,118.05695,0.2521339,78.0,78.0,stimuli\Fitness_Chocolate.png,3.0,0.049379468,--,--,--
5,stimuli\Splendid.PNG,1.0,4.0,118.1282,119.1569,119.35663,0.2001125,7.0,7.0,stimuli\Splendid.PNG,3.0,0.06676196,--,--,--
6,stimuli\Fitnessmaybe.png,1.0,5.0,119.44361,120.473175,120.65656,0.1846165,34.0,34.0,stimuli\Fitnessmaybe.png,3.0,-0.15371093,--,--,--
7,stimuli\Wissotzky.png,1.0,6.0,120.69387,121.73981,121.98977,0.2604549,79.0,79.0,stimuli\Wissotzky.png,3.0,-0.09743848,--,--,--
8,stimuli\FuseTeaGreen.png,1.0,7.0,122.01394,123.05668,123.29019,0.2641813,13.0,13.0,stimuli\FuseTeaGreen.png,3.0,0.11724156,--,--,--
9,stimuli\YadMordechai.png,1.0,8.0,123.43079,124.45629,124.573265,0.1419371,1.0,1.0,stimuli\YadMordechai.png,3.0,0.10624562,--,--,--
10,stimuli\Chocolatemilk.png,1.0,9.0,124.70421,125.73958,125.906456,0.1890508,88.0,88.0,stimuli\Chocolatemilk.png,3.0,-0.08432257,--,--,--
11,stimuli\Prince.PNG,1.0,10.0,125.965355,127.006546,127.189735,0.2151043,14.0,14.0,stimuli\Prince.PNG,3.0,-0.035884373,--,--,--
12,stimuli\Colgatemaybe.png,1.0,11.0,127.21317,128.23946,128.55635,0.335277,98.0,98.0,stimuli\Colgatemaybe.png,3.0,-0.32665312,--,--,--
13,stimuli\Smarties.PNG,1.0,12.0,128.59422,129.62308,129.88942,0.2709739,81.0,81.0,stimuli\Smarties.PNG,3.0,0.096495666,--,--,--
14,stimuli\Heinz.png,1.0,13.0,130.01814,131.05626,131.05635,0.0,11.0,11.0,stimuli\Heinz.png,3.0,0.06638909,--,--,--
15,stimuli\Tuna_ToGo.png,1.0,14.0,131.17989,132.20625,132.2393,0.0326651,78.0,78.0,stimuli\Tuna_ToGo.png,3.0,0.1294002,--,--,--
16,stimuli\Barackemaybe.png,1.0,15.0,132.391,133.42288,133.42293,0.0,30.0,30.0,stimuli\Barackemaybe.png,3.0,0.23594992,--,--,--
17,stimuli\Quakermaybe.png,1.0,16.0,133.68613,134.72247,135.00589,0.2929282,6.0,6.0,stimuli\Quakermaybe.png,3.0,-0.17687318,--,--,--
18,stimuli\Branflakesextra.png,1.0,17.0,135.02928,136.07242,136.2891,0.2253096,30.0,30.0,stimuli\Branflakesextra.png,3.0,-0.17693068,--,--,--
19,stimuli\KifKef.PNG,1.0,18.0,136.34993,137.38924,137.47255,0.1137499,18.0,18.0,stimuli\KifKef.PNG,3.0,0.17335887,--,--,--
20,stimuli\FuzeTea.png,1.0,19.0,137.66878,138.70593,138.706,0.0,50.0,50.0,stimuli\FuzeTea.png,3.0,0.026672492,--,--,--
21,stimuli\GelDeLin.png,1.0,20.0,138.7568,139.7889,140.08893,0.3000394,69.0,69.0,stimuli\GelDeLin.png,3.0,-0.10787174,--,--,--
22,stimuli\Sano99.png,1.0,21.0,140.11052,141.15578,141.32243,0.2018475,61.0,61.0,stimuli\Sano99.png,3.0,0.05069945,--,--,--
23,stimuli\Kikkoman.png,1.0,22.0,141.39743,142.43881,142.62218,0.1950961,75.0,75.0,stimuli\Kikkoman.png,3.0,0.15991558,--,--,--
24,stimuli\Zipperbigbag.png,1.0,23.0,142.80492,143.83904,144.1389,0.3189389,47.0,47.0,stimuli\Zipperbigbag.png,3.0,0.011815126,--,--,--
25,stimuli\ParaChocolate.png,1.0,24.0,144.1714,145.20555,145.4216,0.232347,58.0,58.0,stimuli\ParaChocolate.png,3.0,-0.16254646,--,--,--
26,stimuli\Milka.PNG,1.0,25.0,145.47765,146.50523,146.68968,0.2098268,70.0,70.0,stimuli\Milka.PNG,3.0,-0.20258549,--,--,--
27,stimuli\Zippersmallbag.png,1.0,26.0,146.74141,147.77214,147.90627,0.1527729,8.0,8.0,stimuli\Zippersmallbag.png,3.0,0.08327721,--,--,--
28,stimuli\Branflakes.png,1.0,27.0,148.0356,149.0721,149.17198,0.1330697,43.0,43.0,stimuli\Branflakes.png,3.0,-0.037130285,--,--,--
29,stimuli\Cafeelite.png,1.0,28.0,149.21503,150.23874,150.40532,0.1903403,42.0,42.0,stimuli\Cafeelite.png,3.0,0.06235284,--,--,--
30,stimuli\ChocolateSpread.png,1.0,29.0,150.49205,151.522,151.72168,0.1987038,2.0,2.0,stimuli\ChocolateSpread.png,3.0,-0.013266706,--,--,--
31,stimuli\Oreo.PNG,1.0,30.0,151.76218,152.80533,152.95506,0.1829222,79.0,79.0,stimuli\Oreo.PNG,3.0,0.081150874,--,--,--
32,stimuli\Neviot.PNG,1.0,31.0,153.05966,154.08812,154.08821,0.0132867005,58.0,58.0,stimuli\Neviot.PNG,3.0,0.20121133,998,44,Right
