TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Zippersmallbag.png,1.0,0.0,2.7319334,3.749272,4.2552195,0.5237529,52.0,52.0,stimuli\Zippersmallbag.png,1.0,-0.2271964,--,--,--
2,stimuli\Fitnessmaybe.png,1.0,1.0,4.274522,5.2888308,5.5592523,0.2841697,40.0,39.0,stimuli\Fitnessmaybe.png,1.0,-0.06596581,--,--,--
3,stimuli\Prince.PNG,1.0,2.0,5.615689,6.628259,6.9302874,0.3145581,13.0,13.0,stimuli\Prince.PNG,1.0,-0.08834592,--,--,--
4,stimuli\FuseTeaGreen.png,1.0,3.0,6.9508862,7.9621415,8.317053,0.3583276,100.0,99.0,stimuli\FuseTeaGreen.png,1.0,-0.2853761,--,--,--
5,stimuli\GelDeLin.png,1.0,4.0,8.33926,9.353215,9.60497,0.2577249,69.0,80.0,stimuli\GelDeLin.png,1.0,-0.0009910938,--,--,--
6,stimuli\Kikkoman.png,1.0,5.0,9.627853,10.641393,10.75844,0.1301628,61.0,70.0,stimuli\Kikkoman.png,1.0,0.09284394,--,--,--
7,stimuli\Branflakesextra.png,1.0,6.0,10.873421,11.885806,12.096724,0.2233253,91.0,99.0,stimuli\Branflakesextra.png,1.0,0.14659207,--,--,--
8,stimuli\KifKef.PNG,1.0,7.0,12.299704,13.310158,13.349354,0.0419639,45.0,45.0,stimuli\KifKef.PNG,1.0,-0.0236402,--,--,--
9,stimuli\Oreo.PNG,1.0,8.0,13.387497,14.399307,14.60483,0.217012,39.0,39.0,stimuli\Oreo.PNG,1.0,-0.061385773,--,--,--
10,stimuli\Milka.PNG,1.0,9.0,14.660033,15.672086,15.840857,0.1811217,83.0,83.0,stimuli\Milka.PNG,1.0,-0.16406462,--,--,--
11,stimuli\Tapuchips.PNG,1.0,10.0,15.889979,16.902554,17.027515,0.1299144,78.0,78.0,stimuli\Tapuchips.PNG,1.0,-0.07804032,--,--,--
12,stimuli\Neviot.PNG,1.0,11.0,17.049429,18.061218,18.14884,0.0989186,16.0,16.0,stimuli\Neviot.PNG,1.0,0.1860429,--,--,--
13,stimuli\Colgatemaybe.png,1.0,12.0,18.355085,19.367922,19.368156,0.0,33.0,33.0,stimuli\Colgatemaybe.png,1.0,0.1621143,--,--,--
14,stimuli\Barackemaybe.png,1.0,13.0,19.55273,20.564272,20.639164,0.0783771,14.0,14.0,stimuli\Barackemaybe.png,1.0,0.26856115,--,--,--
15,stimuli\Fitness_Chocolate.png,1.0,14.0,20.960693,21.97136,22.227043,0.2583583,84.0,84.0,stimuli\Fitness_Chocolate.png,1.0,-0.25475714,--,--,--
16,stimuli\ChocolateSpread.png,1.0,15.0,22.249302,23.26047,23.447367,0.1913936,58.0,58.0,stimuli\ChocolateSpread.png,1.0,0.019013131,--,--,--
17,stimuli\Heinz.png,1.0,16.0,23.497234,24.508558,24.551575,0.0547856,96.0,96.0,stimuli\Heinz.png,1.0,-0.027957719,--,--,--
18,stimuli\Wissotzky.png,1.0,17.0,24.584972,25.596653,25.72149,0.1280886,30.0,30.0,stimuli\Wissotzky.png,1.0,0.051734187,--,--,--
19,stimuli\Quakermaybe.png,1.0,18.0,25.79492,26.805471,26.975672,0.1812484,92.0,92.0,stimuli\Quakermaybe.png,1.0,0.19140515,--,--,--
20,stimuli\ParaChocolate.png,1.0,19.0,27.18692,28.199158,28.54747,0.3610421,38.0,38.0,stimuli\ParaChocolate.png,1.0,-0.18092242,--,--,--
21,stimuli\Chocolatemilk.png,1.0,20.0,28.569246,29.579836,29.800886,0.2241283,12.0,12.0,stimuli\Chocolatemilk.png,1.0,-0.04170394,--,--,--
22,stimuli\Zipperbigbag.png,1.0,21.0,29.821835,30.831795,31.405714,0.5768708,64.0,64.0,stimuli\Zipperbigbag.png,1.0,-0.4896363,--,--,--
23,stimuli\FuzeTea.png,1.0,22.0,31.426582,32.43733,32.676544,0.2420686,45.0,45.0,stimuli\FuzeTea.png,1.0,0.051516067,--,--,--
24,stimuli\Smarties.PNG,1.0,23.0,32.763653,33.775444,33.775597,0.009060901,2.0,2.0,stimuli\Smarties.PNG,1.0,0.05287298,--,--,--
25,stimuli\YadMordechai.png,1.0,24.0,33.85345,34.864994,34.865467,0.0086808,76.0,76.0,stimuli\YadMordechai.png,1.0,0.16471924,--,--,--
26,stimuli\CocaCola2L.png,1.0,25.0,35.053562,36.064625,36.06471,0.0,71.0,71.0,stimuli\CocaCola2L.png,1.0,0.34445348,--,--,--
27,stimuli\Cafeelite.png,1.0,26.0,36.443905,37.45554,37.64187,0.1888201,84.0,84.0,stimuli\Cafeelite.png,1.0,0.19784215,--,--,--
28,stimuli\Splendid.PNG,1.0,27.0,37.861633,38.872738,39.06338,0.2021594,53.0,53.0,stimuli\Splendid.PNG,1.0,-0.17123938,--,--,--
29,stimuli\Filtunamaybe.png,1.0,28.0,39.086166,40.098766,40.316982,0.2302843,56.0,56.0,stimuli\Filtunamaybe.png,1.0,0.16904013,--,--,--
30,stimuli\Tuna_ToGo.png,1.0,29.0,40.537308,41.549232,41.549313,0.0,56.0,56.0,stimuli\Tuna_ToGo.png,1.0,0.15190898,--,--,--
31,stimuli\Sano99.png,1.0,30.0,41.726357,42.737396,42.757317,0.0218548,82.0,82.0,stimuli\Sano99.png,1.0,0.048361015,002,32,Right
