"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","triad_index","one_key","two_key","three_key","target1","target2","distractor","target1_rank","target2_rank","distractor_rank","target1_choice","target2_choice","distractor_choice","targets_diff","is_blank","actual_choice"
"","","","","","html-keyboard-response","19","93830","0.0-3.0-0.8","01","null","<p class=""options"">
                      <span></span>
                      <span></span>
                      <span></span>
                    </p>","null","trinary","","","","","0","0","0","null","null","null","null","null","null","null","1",""
"","","","","","html-keyboard-response","20","100835","0.0-3.0-1.8","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","105830","0.0-3.0-0.9","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","null","trinary","","target2","distractor","target1","stimuli\Branflakesextra.png","stimuli\GelDeLin.png","stimuli\Tuna_ToGo.png","0","9","22","88","61.5","45.5","9","null",""
"","","","","","html-keyboard-response","22","143820","0.0-3.0-1.9","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","203818","0.0-3.0-0.10","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","target2","distractor","target1","stimuli\Kikkoman.png","stimuli\ChocolateSpread.png","stimuli\Wissotzky.png","3","4","26","72","68","36","1","null",""
"","","","","","html-keyboard-response","24","229835","0.0-3.0-1.10","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","234817","0.0-3.0-0.11","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\GelDeLin.png', width=""148.94217207334273"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Branflakesextra.png","stimuli\GelDeLin.png","stimuli\CocaCola2L.png","0","9","14","88","61.5","58.5","9","null",""
"","","","","","html-keyboard-response","26","240997","0.0-3.0-1.11","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","245013","0.0-3.0-0.12","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Kikkoman.png","stimuli\ChocolateSpread.png","stimuli\CocaCola2L.png","3","4","14","72","68","58.5","1","null",""
"","","","","","html-keyboard-response","28","251275","0.0-3.0-1.12","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
