TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Heinz.png,1.0,0.0,2.919037,3.9382014,4.624183,0.7045951,55.0,83.0,stimuli\Heinz.png,1.0,-0.6702566,--,--,--
2,stimuli\Oreo.PNG,1.0,1.0,4.6608615,5.672211,5.9955363,0.3342916,81.0,66.0,stimuli\Oreo.PNG,1.0,-0.22872286,--,--,--
3,stimuli\Milka.PNG,1.0,2.0,6.04515,7.057648,7.2657404,0.2122136,8.0,8.0,stimuli\Milka.PNG,1.0,0.1527517,--,--,--
4,stimuli\Wissotzky.png,1.0,3.0,7.454344,8.46647,8.466751,0.0,28.0,28.0,stimuli\Wissotzky.png,1.0,0.22320777,--,--,--
5,stimuli\FuseTeaGreen.png,1.0,4.0,8.715833,9.728239,9.773747,0.0580885,88.0,88.0,stimuli\FuseTeaGreen.png,1.0,-0.025685456,--,--,--
6,stimuli\Colgatemaybe.png,1.0,5.0,9.794463,10.804878,11.077151,0.2770742,63.0,63.0,stimuli\Colgatemaybe.png,1.0,-0.14910933,--,--,--
7,stimuli\Kikkoman.png,1.0,6.0,11.100607,12.113579,12.599814,0.4985466,0.0,0.0,stimuli\Kikkoman.png,1.0,-0.25089595,--,--,--
8,stimuli\Fitness_Chocolate.png,1.0,7.0,12.649638,13.660609,14.070711,0.4207227,3.0,3.0,stimuli\Fitness_Chocolate.png,1.0,-0.20688385,--,--,--
9,stimuli\Splendid.PNG,1.0,8.0,14.091389,15.103449,15.474636,0.3750714,41.0,41.0,stimuli\Splendid.PNG,1.0,-0.1791393,--,--,--
10,stimuli\Tuna_ToGo.png,1.0,9.0,15.530165,16.540905,16.896118,0.3661315,28.0,28.0,stimuli\Tuna_ToGo.png,1.0,-0.07317625,--,--,--
11,stimuli\CocaCola2L.png,1.0,10.0,16.918127,17.929916,18.969446,1.042862,35.0,35.0,stimuli\CocaCola2L.png,1.0,-0.8004798,--,--,--
12,stimuli\Barackemaybe.png,1.0,11.0,18.98979,20.001005,20.975422,0.9849069,8.0,8.0,stimuli\Barackemaybe.png,1.0,-0.70735604,--,--,--
13,stimuli\Cafeelite.png,1.0,12.0,21.01458,22.026358,22.179039,0.1560463,88.0,88.0,stimuli\Cafeelite.png,1.0,-0.11352296,--,--,--
14,stimuli\Tapuchips.PNG,1.0,13.0,22.21353,23.224703,23.449455,0.2281102,99.0,99.0,stimuli\Tapuchips.PNG,1.0,0.14529406,--,--,--
15,stimuli\Prince.PNG,1.0,14.0,23.645752,24.658613,24.803743,0.1498222,81.0,81.0,stimuli\Prince.PNG,1.0,-0.14139709,--,--,--
16,stimuli\ParaChocolate.png,1.0,15.0,24.82442,25.836098,25.890656,0.0571517,70.0,70.0,stimuli\ParaChocolate.png,1.0,0.053669173,--,--,--
17,stimuli\GelDeLin.png,1.0,16.0,25.966661,26.979136,28.381504,1.4144977,22.0,22.0,stimuli\GelDeLin.png,1.0,-1.2768737,--,--,--
18,stimuli\Branflakesextra.png,1.0,17.0,28.403679,29.41519,30.086393,0.67455,33.0,33.0,stimuli\Branflakesextra.png,1.0,-0.5951467,--,--,--
19,stimuli\Sano99.png,1.0,18.0,30.107271,31.118317,31.942333,0.8269653,3.0,3.0,stimuli\Sano99.png,1.0,-0.56689924,--,--,--
20,stimuli\Filtunamaybe.png,1.0,19.0,31.96505,32.97665,33.029095,0.0559664,10.0,10.0,stimuli\Filtunamaybe.png,1.0,0.18948978,--,--,--
21,stimuli\Quakermaybe.png,1.0,20.0,33.240337,34.25212,34.300613,0.0599713,3.0,3.0,stimuli\Quakermaybe.png,1.0,0.08300798,--,--,--
22,stimuli\KifKef.PNG,1.0,21.0,34.434788,35.446785,35.57073,0.1352652,24.0,24.0,stimuli\KifKef.PNG,1.0,0.088969305,--,--,--
23,stimuli\Zipperbigbag.png,1.0,22.0,35.682346,36.69544,36.722343,0.0237173,40.0,40.0,stimuli\Zipperbigbag.png,1.0,0.043448664,--,--,--
24,stimuli\Neviot.PNG,1.0,23.0,36.789074,37.80152,38.02757,0.2306391,88.0,88.0,stimuli\Neviot.PNG,1.0,0.08240431,--,--,--
25,stimuli\Smarties.PNG,1.0,24.0,38.146126,39.157597,39.633247,0.4860475,34.0,34.0,stimuli\Smarties.PNG,1.0,-0.3551083,--,--,--
26,stimuli\Zippersmallbag.png,1.0,25.0,39.681858,40.69458,41.07096,0.3817422,48.0,48.0,stimuli\Zippersmallbag.png,1.0,-0.3568237,--,--,--
27,stimuli\FuzeTea.png,1.0,26.0,41.09294,42.10526,42.10559,0.0,23.0,23.0,stimuli\FuzeTea.png,1.0,0.17098942,--,--,--
28,stimuli\ChocolateSpread.png,1.0,27.0,42.3004,43.31346,43.461407,0.1530176,26.0,26.0,stimuli\ChocolateSpread.png,1.0,0.009184176,--,--,--
29,stimuli\Chocolatemilk.png,1.0,28.0,43.49577,44.50683,45.04991,0.5463358,25.0,25.0,stimuli\Chocolatemilk.png,1.0,-0.15996525,--,--,--
30,stimuli\Fitnessmaybe.png,1.0,29.0,45.069202,46.079384,46.755318,0.6865704,9.0,9.0,stimuli\Fitnessmaybe.png,1.0,-0.6165502,--,--,--
31,stimuli\YadMordechai.png,1.0,30.0,46.776596,47.78701,48.8788,1.1022573,54.0,54.0,stimuli\YadMordechai.png,1.0,-0.7622779,543,22,Right
