TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time
1,stimuli\FuzeTea.png,1.0,0.0,1.3970704,2.4403677,4.163718,1.7661818,41.0,50.0,stimuli\FuzeTea.png,1.0,-1.8390921
2,stimuli\Branflakesextra.png,1.0,1.0,4.197863,5.221142,5.435942,0.2357794,76.0,76.0,stimuli\Branflakesextra.png,1.0,-0.12093286
3,stimuli\YadMordechai.png,1.0,2.0,5.4526935,6.4760695,6.565269,0.1120768,48.0,48.0,stimuli\YadMordechai.png,1.0,-0.13582303
4,stimuli\CocaCola2L.png,1.0,3.0,6.588798,7.6100087,7.610125,0.0,45.0,45.0,stimuli\CocaCola2L.png,1.0,0.16031787
5,stimuli\ChocolateSpread.png,1.0,4.0,7.8038793,8.826937,8.827162,0.0,39.0,39.0,stimuli\ChocolateSpread.png,1.0,-0.06889396
6,stimuli\Zippersmallbag.png,1.0,5.0,8.870231,9.894454,9.981115,0.1089664,10.0,10.0,stimuli\Zippersmallbag.png,1.0,-0.09643042
7,stimuli\Filtunamaybe.png,1.0,6.0,10.000996,11.023723,11.195394,0.1923891,13.0,13.0,stimuli\Filtunamaybe.png,1.0,-0.13742219
8,stimuli\Kikkoman.png,1.0,7.0,11.221252,12.242776,12.26889,0.045383498,38.0,38.0,stimuli\Kikkoman.png,1.0,0.09102216
9,stimuli\Smarties.PNG,1.0,8.0,12.393724,13.421299,13.421471,0.0,75.0,75.0,stimuli\Smarties.PNG,1.0,0.08030219
10,stimuli\Tapuchips.PNG,1.0,9.0,13.54114,14.564043,14.5642185,0.0,41.0,41.0,stimuli\Tapuchips.PNG,1.0,0.25555953
11,stimuli\Quakermaybe.png,1.0,10.0,14.835923,15.859613,15.99087,0.1329333,33.0,33.0,stimuli\Quakermaybe.png,1.0,0.059652448
12,stimuli\Chocolatemilk.png,1.0,11.0,16.081654,17.1059,17.211573,0.1280594,21.0,21.0,stimuli\Chocolatemilk.png,1.0,-0.025916245
13,stimuli\Fitnessmaybe.png,1.0,12.0,17.236143,18.258575,18.258696,0.0,56.0,56.0,stimuli\Fitnessmaybe.png,1.0,0.20834236
14,stimuli\FuseTeaGreen.png,1.0,13.0,18.497261,19.518858,19.939312,0.4407619,37.0,37.0,stimuli\FuseTeaGreen.png,1.0,-0.43332672
15,stimuli\Cafeelite.png,1.0,14.0,19.979286,21.003336,21.277826,0.2965304,65.0,65.0,stimuli\Cafeelite.png,1.0,-0.0714897
16,stimuli\Splendid.PNG,1.0,15.0,21.298662,22.320673,22.80993,0.5097913,16.0,16.0,stimuli\Splendid.PNG,1.0,-0.29102635
17,stimuli\Tuna_ToGo.png,1.0,16.0,22.870935,23.894838,24.124176,0.2508922,50.0,50.0,stimuli\Tuna_ToGo.png,1.0,-0.28501695
18,stimuli\KifKef.PNG,1.0,17.0,24.180847,25.204046,25.204805,0.0231904,46.0,46.0,stimuli\KifKef.PNG,1.0,-0.08943134
19,stimuli\Fitness_Chocolate.png,1.0,18.0,25.267887,26.296347,26.34694,0.0773943,78.0,78.0,stimuli\Fitness_Chocolate.png,1.0,-0.15334627
20,stimuli\Heinz.png,1.0,19.0,26.37541,27.398903,27.399055,0.0,76.0,76.0,stimuli\Heinz.png,1.0,0.26854753
21,stimuli\Prince.PNG,1.0,20.0,27.722864,28.746386,28.98331,0.2571021,31.0,31.0,stimuli\Prince.PNG,1.0,-0.14192447
22,stimuli\Zipperbigbag.png,1.0,21.0,29.009127,30.033741,30.2394,0.2253181,30.0,30.0,stimuli\Zipperbigbag.png,1.0,-0.31387442
23,stimuli\Barackemaybe.png,1.0,22.0,30.261251,31.287256,31.577688,0.3152384,31.0,31.0,stimuli\Barackemaybe.png,1.0,-0.10917964
24,stimuli\ParaChocolate.png,1.0,23.0,31.598536,32.62218,32.866585,0.2660955,64.0,64.0,stimuli\ParaChocolate.png,1.0,-0.016969964
25,stimuli\Oreo.PNG,1.0,24.0,32.904484,33.925377,34.254524,0.3503953,22.0,22.0,stimuli\Oreo.PNG,1.0,-0.38059244
26,stimuli\Sano99.png,1.0,25.0,34.273132,35.29929,35.519802,0.2433897,75.0,75.0,stimuli\Sano99.png,1.0,-0.32518694
27,stimuli\Neviot.PNG,1.0,26.0,35.545242,36.567535,36.718853,0.1716544,74.0,74.0,stimuli\Neviot.PNG,1.0,-0.009569983
28,stimuli\Colgatemaybe.png,1.0,27.0,36.747936,37.769375,38.06774,0.3180143,58.0,58.0,stimuli\Colgatemaybe.png,1.0,-0.05008924
29,stimuli\Wissotzky.png,1.0,28.0,38.09926,39.1241,39.208755,0.1087807,77.0,77.0,stimuli\Wissotzky.png,1.0,-0.019035164
30,stimuli\Milka.PNG,1.0,29.0,39.26601,40.289158,40.487427,0.2196469,53.0,53.0,stimuli\Milka.PNG,1.0,-0.21029294
31,stimuli\GelDeLin.png,1.0,30.0,40.509953,41.534046,41.726402,0.2145491,37.0,37.0,stimuli\GelDeLin.png,1.0,-0.047461823
