TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time
1,stimuli\Barackemaybe.png,1.0,0.0,3.2713044,4.289746,5.0376744,0.7660054,67.0,100.0,stimuli\Barackemaybe.png,1.0,-0.4281743
2,stimuli\CocaCola2L.png,1.0,1.0,5.062513,6.07376,6.5086684,0.4457678,29.0,16.0,stimuli\CocaCola2L.png,1.0,-0.08631235
3,stimuli\Cafeelite.png,1.0,2.0,6.5473666,7.557624,8.147074,0.5915904,59.0,64.0,stimuli\Cafeelite.png,1.0,-0.24976282
4,stimuli\YadMordechai.png,1.0,3.0,8.168868,9.179708,9.685595,0.5168974,52.0,83.0,stimuli\YadMordechai.png,1.0,-0.1791903
5,stimuli\ParaChocolate.png,1.0,4.0,9.7061205,10.716334,11.424502,0.7185455,56.0,90.0,stimuli\ParaChocolate.png,1.0,-0.33522072
6,stimuli\Wissotzky.png,1.0,5.0,11.458837,12.470091,12.862292,0.4026085,68.0,84.0,stimuli\Wissotzky.png,1.0,-0.225742
7,stimuli\Oreo.PNG,1.0,6.0,12.897747,13.90896,14.249372,0.3445097,24.0,54.0,stimuli\Oreo.PNG,1.0,-0.17759117
8,stimuli\Heinz.png,1.0,7.0,14.278482,15.292734,15.637572,0.3493504,41.0,26.0,stimuli\Heinz.png,1.0,0.019477328
9,stimuli\Tapuchips.PNG,1.0,8.0,15.692032,16.702541,16.924362,0.2245373,38.0,54.0,stimuli\Tapuchips.PNG,1.0,-0.19659063
10,stimuli\KifKef.PNG,1.0,9.0,16.979082,17.990469,18.16218,0.1830014,65.0,52.0,stimuli\KifKef.PNG,1.0,-0.07165308
11,stimuli\GelDeLin.png,1.0,10.0,18.18436,19.19601,19.31565,0.1315832,30.0,43.0,stimuli\GelDeLin.png,1.0,0.17439379
12,stimuli\Smarties.PNG,1.0,11.0,19.523472,20.535006,20.670284,0.146993,31.0,24.0,stimuli\Smarties.PNG,1.0,0.20928934
13,stimuli\ChocolateSpread.png,1.0,12.0,20.902239,21.914825,21.91501,0.0,80.0,80.0,stimuli\ChocolateSpread.png,1.0,0.11315046
14,stimuli\Splendid.PNG,1.0,13.0,22.042036,23.053005,23.31125,0.2608467,21.0,10.0,stimuli\Splendid.PNG,1.0,0.026543094
15,stimuli\Milka.PNG,1.0,14.0,23.384962,24.39573,24.61532,0.2306076,95.0,87.0,stimuli\Milka.PNG,1.0,0.009698945
16,stimuli\Neviot.PNG,1.0,15.0,24.647959,25.660088,25.885324,0.2372148,0.0,16.0,stimuli\Neviot.PNG,1.0,-0.045392107
17,stimuli\Colgatemaybe.png,1.0,16.0,25.905867,26.916649,27.123089,0.2168336,58.0,42.0,stimuli\Colgatemaybe.png,1.0,0.07219235
18,stimuli\Chocolatemilk.png,1.0,17.0,27.218496,28.229715,28.376917,0.1589677,62.0,66.0,stimuli\Chocolatemilk.png,1.0,0.1514204
19,stimuli\Prince.PNG,1.0,18.0,28.577608,29.590023,29.747402,0.1608391,42.0,40.0,stimuli\Prince.PNG,1.0,-0.16076314
20,stimuli\Zippersmallbag.png,1.0,19.0,29.792833,30.809805,31.052034,0.2591661,0.0,4.0,stimuli\Zippersmallbag.png,1.0,-0.12833746
21,stimuli\Fitnessmaybe.png,1.0,20.0,31.075005,32.086994,32.38874,0.3056033,36.0,22.0,stimuli\Fitnessmaybe.png,1.0,-0.11196508
22,stimuli\Kikkoman.png,1.0,21.0,32.412,33.42259,33.727097,0.3149984,37.0,25.0,stimuli\Kikkoman.png,1.0,-0.30522227
23,stimuli\Fitness_Chocolate.png,1.0,22.0,33.78314,34.7963,34.930527,0.1472569,96.0,96.0,stimuli\Fitness_Chocolate.png,1.0,0.18812768
24,stimuli\Sano99.png,1.0,23.0,35.139534,36.15129,36.418976,0.2792391,96.0,96.0,stimuli\Sano99.png,1.0,-0.17729196
25,stimuli\Quakermaybe.png,1.0,24.0,36.439148,37.44948,37.622154,0.1746879,50.0,50.0,stimuli\Quakermaybe.png,1.0,0.010951697
26,stimuli\Filtunamaybe.png,1.0,25.0,37.655872,38.66698,38.892788,0.236151,5.0,24.0,stimuli\Filtunamaybe.png,1.0,-0.026649095
27,stimuli\Zipperbigbag.png,1.0,26.0,38.91381,39.92345,40.46396,0.5419411,76.0,70.0,stimuli\Zipperbigbag.png,1.0,-0.4821073
28,stimuli\Tuna_ToGo.png,1.0,27.0,40.511868,41.524754,41.70167,0.1895613,8.0,21.0,stimuli\Tuna_ToGo.png,1.0,0.03510729
29,stimuli\FuseTeaGreen.png,1.0,28.0,41.757614,42.76894,42.93818,0.1722313,100.0,98.0,stimuli\FuseTeaGreen.png,1.0,0.07224416
30,stimuli\FuzeTea.png,1.0,29.0,43.0316,44.043625,44.259438,0.2274385,76.0,85.0,stimuli\FuzeTea.png,1.0,0.06512984
31,stimuli\Branflakesextra.png,1.0,30.0,44.346153,45.356823,45.547142,0.2006459,43.0,51.0,stimuli\Branflakesextra.png,1.0,-0.033678647
