TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time
1,stimuli\HEINZ.PNG,1.0,0.0,0.523719,1.5648304,1.9662735,0.4420672,19.0,15.0,0.1926687
2,stimuli\Kikkoman.PNG,1.0,1.0,2.1936514,3.215065,3.4504802,0.2557055,43.0,33.0,0.32855907
3,stimuli\Tapuchips.PNG,1.0,2.0,3.8164663,4.8398685,4.9925375,0.1734958,17.0,14.0,0.15671574
4,stimuli\Milka.PNG,1.0,3.0,5.2002287,6.223098,6.538838,0.3362789,22.0,9.0,0.24832617
5,stimuli\KifKef.PNG,1.0,4.0,6.853848,7.876456,8.129853,0.2751275,80.0,68.0,0.2669243
6,stimuli\Sano99.PNG,1.0,5.0,8.433367,9.455462,9.819536,0.3848077,63.0,36.0,0.21568199
7,stimuli\Fitness_Chocolate.png,1.0,6.0,10.09196,11.115084,11.266315,0.1724492,46.0,36.0,0.3965749
8,stimuli\Tuna_ToGo.png,1.0,7.0,11.71261,12.736071,13.031508,0.3170412,1.0,0.0,0.18240426
9,stimuli\Oreo.PNG,1.0,8.0,13.250715,14.274037,14.551635,0.2993725,68.0,54.0,0.2618787
10,stimuli\Zipperbigbag.png,1.0,9.0,14.856388,15.877674,16.1945,0.3370123,23.0,20.0,0.085669145
11,stimuli\GelDeLin.png,1.0,10.0,16.311922,17.334568,17.566488,0.2528058,80.0,63.0,0.1729952
12,stimuli\Parachocolate.PNG,1.0,11.0,17.772827,18.794882,19.164976,0.3923901,11.0,23.0,0.03588302
13,stimuli\Zippersmallbag.png,1.0,12.0,19.247982,20.2702,20.479792,0.2299829,39.0,24.0,0.34353426
14,stimuli\Branflakes.png,1.0,13.0,20.8588,21.882658,21.88281,0.0,71.0,71.0,0.3845146
15,stimuli\Fitness.png,1.0,14.0,22.309292,23.332542,23.518482,0.2074379,45.0,60.0,0.13182382
16,stimuli\Smarties.PNG,1.0,15.0,23.681437,24.703062,25.081442,0.3993478,59.0,39.0,0.20726575
17,stimuli\Quaker.PNG,1.0,16.0,25.347898,26.3703,26.817337,0.4677811,67.0,67.0,0.22544329
18,stimuli\Prince.PNG,1.0,17.0,27.099863,28.122028,28.435493,0.3345256,2.0,36.0,0.1541542
19,stimuli\Branflakesextra.png,1.0,18.0,28.622541,29.643814,29.957438,0.3334792,34.0,10.0,0.20546709
20,stimuli\Splendid.PNG,1.0,19.0,30.178299,31.199913,31.624676,0.4453393,61.0,61.0,0.13197137
21,stimuli\FuzeTea.png,1.0,20.0,31.78828,32.80913,33.276108,0.4858258,27.0,16.0,0.04713533
22,stimuli\Wissotzky.png,1.0,21.0,33.358967,34.38028,34.773758,0.4138755,53.0,35.0,-0.0022754204
23,stimuli\CocaCola2L.png,1.0,22.0,34.794666,35.81611,36.25356,0.4580625,55.0,12.0,0.13872346
24,stimuli\Neviot.PNG,1.0,23.0,36.42696,37.449146,37.678516,0.2495659,35.0,23.0,0.3118817
25,stimuli\Cafeelite.png,1.0,24.0,38.025215,39.04764,39.215572,0.1886735,55.0,50.0,0.34949455
26,stimuli\Colgate.png,1.0,25.0,39.601093,40.623016,41.100834,0.4980406,52.0,12.0,-0.021542724
27,stimuli\FuzeTeaGreen.png,1.0,26.0,41.13513,42.1571,42.8747,0.7372901,62.0,80.0,-0.29498672
28,stimuli\ChocolateSpread.png,1.0,27.0,42.900375,43.92215,44.71577,0.7948618,51.0,70.0,-0.44372687
29,stimuli\Filtuna.png,1.0,28.0,44.75875,45.780983,46.766415,None,18.0,17.0,-0.6622143
30,stimuli\YadMordechai.png,1.0,29.0,46.803123,47.825348,48.804455,None,9.0,9.0,-0.49129015
31,stimuli\Chocolatemilk.png,1.0,30.0,48.847454,49.86974,50.20179,0.3526719000074081,74.0,76.0,0.062303342
32,stimuli\Baracke.png,1.0,31.0,50.297653,51.319363,51.565105,0.2664232999959495,67.0,77.0,0.36661682
