TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\KifKef.PNG,1.0,0.0,408.13464,409.166,410.43237,1.2755716,56.0,74.0,stimuli\KifKef.PNG,3.0,-1.0770992,--,--,--
2,stimuli\Fitness_Chocolate.png,1.0,1.0,410.492,411.51584,415.79886,4.3068337,45.0,84.0,stimuli\Fitness_Chocolate.png,3.0,-4.0370846,--,--,--
3,stimuli\ParaChocolate.png,1.0,2.0,415.81982,416.86554,419.08273,2.2484176,40.0,84.0,stimuli\ParaChocolate.png,3.0,-2.0287397,--,--,--
4,stimuli\Tuna_ToGo.png,1.0,3.0,419.13983,420.18176,424.1152,3.9670608,70.0,42.0,stimuli\Tuna_ToGo.png,3.0,-3.9293694,--,--,--
5,stimuli\Colgatemaybe.png,1.0,4.0,424.13898,425.16513,430.6648,5.5254717,65.0,77.0,stimuli\Colgatemaybe.png,3.0,-5.2256875,--,--,--
6,stimuli\Heinz.png,1.0,5.0,430.69833,431.73154,438.29788,6.5983996,74.0,63.0,stimuli\Heinz.png,3.0,-6.397199,--,--,--
7,stimuli\Prince.PNG,1.0,6.0,438.35608,439.38107,444.64725,5.2684793,85.0,95.0,stimuli\Prince.PNG,3.0,-5.2445817,--,--,--
8,stimuli\Smarties.PNG,1.0,7.0,444.68637,445.7142,452.23056,6.543855,35.0,96.0,stimuli\Smarties.PNG,3.0,-6.3020654,--,--,--
9,stimuli\Zipperbigbag.png,1.0,8.0,452.2542,453.2805,454.81366,1.5532103,75.0,79.0,stimuli\Zipperbigbag.png,3.0,-1.1551527,--,--,--
10,stimuli\Branflakes.png,1.0,9.0,454.85956,455.897,458.29663,2.407091,40.0,25.0,stimuli\Branflakes.png,3.0,-2.386734,--,--,--
11,stimuli\FuseTeaGreen.png,1.0,10.0,458.321,459.36353,462.94638,3.596221,70.0,19.0,stimuli\FuseTeaGreen.png,3.0,-3.5094652,--,--,--
12,stimuli\Branflakesextra.png,1.0,11.0,462.96964,463.9963,469.01297,5.0404735,40.0,2.0,stimuli\Branflakesextra.png,3.0,-4.878041,--,--,--
13,stimuli\Milka.PNG,1.0,12.0,469.07007,470.11304,480.39578,10.315957,65.0,86.0,stimuli\Milka.PNG,3.0,-10.073841,--,--,--
14,stimuli\Quakermaybe.png,1.0,13.0,480.42007,481.44547,484.6623,3.2384262,70.0,3.0,stimuli\Quakermaybe.png,3.0,-2.8948286,--,--,--
15,stimuli\Zippersmallbag.png,1.0,14.0,484.7136,485.7622,489.34546,3.6187603,73.0,34.0,stimuli\Zippersmallbag.png,3.0,-3.6029234,--,--,--
16,stimuli\CocaCola2L.png,1.0,15.0,489.3681,490.4117,493.64493,3.2418697,70.0,27.0,stimuli\CocaCola2L.png,3.0,-2.8486984,--,--,--
17,stimuli\Wissotzky.png,1.0,16.0,493.68277,494.7118,498.2617,3.5758424,65.0,17.0,stimuli\Wissotzky.png,3.0,-3.254565,--,--,--
18,stimuli\Tapuchips.PNG,1.0,17.0,498.29947,499.34494,501.77808,2.4674532,35.0,44.0,stimuli\Tapuchips.PNG,3.0,-2.460853,--,--,--
19,stimuli\Filtunamaybe.png,1.0,18.0,501.8037,502.84482,506.8445,4.028609,60.0,46.0,stimuli\Filtunamaybe.png,3.0,-3.8531625,--,--,--
20,stimuli\Fitnessmaybe.png,1.0,19.0,506.86487,507.89456,511.62766,3.7539651,39.0,49.0,stimuli\Fitnessmaybe.png,3.0,-3.7145762,--,--,--
21,stimuli\Cafeelite.png,1.0,20.0,511.6705,512.71063,517.5441,4.869762,50.0,78.0,stimuli\Cafeelite.png,3.0,-4.685303,--,--,--
22,stimuli\Kikkoman.png,1.0,21.0,517.56885,518.61035,521.3603,2.7553499,62.0,83.0,stimuli\Kikkoman.png,3.0,-2.6416068,--,--,--
23,stimuli\Chocolatemilk.png,1.0,22.0,521.3849,522.41016,524.91046,2.5212624,50.0,14.0,stimuli\Chocolatemilk.png,3.0,-2.3142986,--,--,--
24,stimuli\Neviot.PNG,1.0,23.0,524.9327,525.9604,529.02655,3.0646732,40.0,5.0,stimuli\Neviot.PNG,3.0,-2.898848,--,--,--
25,stimuli\FuzeTea.png,1.0,24.0,529.04877,530.07654,533.8932,3.8419776,70.0,79.0,stimuli\FuzeTea.png,3.0,-3.5542161,--,--,--
26,stimuli\Sano99.png,1.0,25.0,533.91455,534.9596,540.77606,5.825005,70.0,7.0,stimuli\Sano99.png,3.0,-5.7880487,--,--,--
27,stimuli\Oreo.PNG,1.0,26.0,540.81696,541.85925,544.7758,2.9236107,66.0,9.0,stimuli\Oreo.PNG,3.0,-2.7931714,--,--,--
28,stimuli\ChocolateSpread.png,1.0,27.0,544.8003,545.82605,550.7591,4.9544506,50.0,96.0,stimuli\ChocolateSpread.png,3.0,-4.811068,--,--,--
29,stimuli\Barackemaybe.png,1.0,28.0,550.78125,551.8258,555.04205,3.2255208,64.0,37.0,stimuli\Barackemaybe.png,3.0,-2.985079,--,--,--
30,stimuli\YadMordechai.png,1.0,29.0,555.0657,556.1086,557.5254,1.4453272,59.0,95.0,stimuli\YadMordechai.png,3.0,-1.4016699,--,--,--
31,stimuli\GelDeLin.png,1.0,30.0,557.5484,558.57513,560.8918,2.3265555,73.0,34.0,stimuli\GelDeLin.png,3.0,-2.1501117,--,--,--
32,stimuli\Splendid.PNG,1.0,31.0,560.9142,561.94196,564.59155,2.649704,73.0,88.0,stimuli\Splendid.PNG,3.0,-2.5893204,105,22,Right
