TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Chocolatemilk.png,1,0,220.59395,221.6249,225.09126,3.491455,50,58,stimuli\Chocolatemilk.png,2,-3.3783858,--,--,--
2,stimuli\Fitness_Chocolate.png,1,1,225.14919,226.19098,229.25754,3.0725155,45,90,stimuli\Fitness_Chocolate.png,2,-3.0277946,--,--,--
3,stimuli\ParaChocolate.png,1,2,229.279,230.30779,237.50734,7.224319,41,35,stimuli\ParaChocolate.png,2,-7.1698933,--,--,--
4,stimuli\Tapuchips.PNG,1,3,237.54561,238.59044,243.55707,4.998439,35,90,stimuli\Tapuchips.PNG,2,-4.9860187,--,--,--
5,stimuli\Smarties.PNG,1,4,243.59695,244.64044,248.72359,4.1118603,35,93,stimuli\Smarties.PNG,2,-3.9122682,--,--,--
6,stimuli\ChocolateSpread.png,1,5,248.7469,249.77351,253.75656,4.0089293,50,62,stimuli\ChocolateSpread.png,2,-3.9464295,--,--,--
7,stimuli\Fitnessmaybe.png,1,6,253.77664,254.82321,256.93954,2.1319325,40,76,stimuli\Fitnessmaybe.png,2,-1.8128735,--,--,--
8,stimuli\Prince.PNG,1,7,256.99884,258.03946,263.57257,5.54847,85,15,stimuli\Prince.PNG,2,-5.484345,--,--,--
9,stimuli\YadMordechai.png,1,8,263.59763,264.6395,272.02237,7.4141397,60,94,stimuli\YadMordechai.png,2,-7.3778863,--,--,--
10,stimuli\Branflakes.png,1,9,272.06885,273.10577,275.57202,2.4767854,40,29,stimuli\Branflakes.png,2,-2.178137,--,--,--
11,stimuli\Cafeelite.png,1,10,275.6155,276.65558,279.53873,2.9151282,50,56,stimuli\Cafeelite.png,2,-2.657045,--,--,--
12,stimuli\Kikkoman.png,1,11,279.56436,280.60547,284.13855,3.561832,61,82,stimuli\Kikkoman.png,2,-3.2433677,--,--,--
13,stimuli\Heinz.png,1,12,284.17065,285.2052,292.88785,7.695868,69,19,stimuli\Heinz.png,2,-7.418659,--,--,--
14,stimuli\Quakermaybe.png,1,13,292.91046,293.95447,297.9045,3.9815454,75,76,stimuli\Quakermaybe.png,2,-3.596296,--,--,--
15,stimuli\Colgatemaybe.png,1,14,297.92636,298.95416,301.25427,2.325219,50,74,stimuli\Colgatemaybe.png,2,-2.1573513,--,--,--
16,stimuli\Zipperbigbag.png,1,15,301.27707,302.32104,306.13718,3.8255703,80,83,stimuli\Zipperbigbag.png,2,-3.5338364,--,--,--
17,stimuli\FuzeTea.png,1,16,306.1594,307.20407,310.604,3.432469,70,64,stimuli\FuzeTea.png,2,-3.2050679,--,--,--
18,stimuli\Tuna_ToGo.png,1,17,310.66022,311.70358,315.07028,3.395163,70,6,stimuli\Tuna_ToGo.png,2,-2.998996,--,--,--
19,stimuli\Filtunamaybe.png,1,18,315.09583,316.1367,323.3866,7.2802725,70,91,stimuli\Filtunamaybe.png,2,-7.2228184,--,--,--
20,stimuli\Splendid.PNG,1,19,323.4085,324.43655,329.1861,4.748779,65,48,stimuli\Splendid.PNG,2,-4.5688224,--,--,--
21,stimuli\Barackemaybe.png,1,20,329.20816,330.2527,343.2521,13.0132675,55,3,stimuli\Barackemaybe.png,2,-12.622726,--,--,--
22,stimuli\Sano99.png,1,21,343.27466,344.302,348.0854,3.8088155,65,18,stimuli\Sano99.png,2,-3.7210743,--,--,--
23,stimuli\CocaCola2L.png,1,22,348.10797,349.13516,350.902,1.7870195,70,58,stimuli\CocaCola2L.png,2,-1.3914235,--,--,--
24,stimuli\FuseTeaGreen.png,1,23,350.9251,351.96863,354.38492,2.427646,70,18,stimuli\FuseTeaGreen.png,2,-2.3788075,--,--,--
25,stimuli\Neviot.PNG,1,24,354.40765,355.45178,363.00146,7.5792594,40,4,stimuli\Neviot.PNG,2,-7.4807096,--,--,--
26,stimuli\KifKef.PNG,1,25,363.0625,364.1011,367.53458,3.4684746,50,31,stimuli\KifKef.PNG,2,-3.287609,--,--,--
27,stimuli\Wissotzky.png,1,26,367.57306,368.6179,370.6511,2.070757,61,6,stimuli\Wissotzky.png,2,-1.789726,--,--,--
28,stimuli\Zippersmallbag.png,1,27,370.70532,371.73438,374.28427,2.571519,70,23,stimuli\Zippersmallbag.png,2,-2.4437847,--,--,--
29,stimuli\Branflakesextra.png,1,28,374.30942,375.33417,377.83377,2.502106,40,58,stimuli\Branflakesextra.png,2,-2.273104,--,--,--
30,stimuli\Milka.PNG,1,29,377.88873,378.91733,384.96716,6.06995,70,38,stimuli\Milka.PNG,2,-5.7348876,--,--,--
31,stimuli\Oreo.PNG,1,30,385.00827,386.03336,395.39984,9.390671,70,31,stimuli\Oreo.PNG,2,-9.029717,--,--,--
32,stimuli\GelDeLin.png,1,31,395.42447,396.4499,404.94946,8.522074,80,82,stimuli\GelDeLin.png,2,-8.468138,105,22,Right
,,,,,,,,56,,,,,,,
,,,,,,,,45,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,65,,,,,,,
,,,,,,,,74,,,,,,,
,,,,,,,,85,,,,,,,
,,,,,,,,35,,,,,,,
,,,,,,,,75,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,65,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,73,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,65,,,,,,,
,,,,,,,,35,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,39,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,62,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,40,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,66,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,64,,,,,,,
,,,,,,,,59,,,,,,,
,,,,,,,,73,,,,,,,
,,,,,,,,73,,,,,,,
