TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Colgatemaybe.png,1,0,225.11,226.14452,230.22803,4.111305,50,52,stimuli\Colgatemaybe.png,2,-3.9312675,--,--,--
2,stimuli\KifKef.PNG,1,1,230.28864,231.32794,238.22734,6.905358,90,29,stimuli\KifKef.PNG,2,-6.555768,--,--,--
3,stimuli\FuseTeaGreen.png,1,2,238.25218,239.27724,241.47745,2.2235932,30,32,stimuli\FuseTeaGreen.png,2,-1.8910986,--,--,--
4,stimuli\Zippersmallbag.png,1,3,241.52974,242.56075,245.66064,3.1254547,50,1,stimuli\Zippersmallbag.png,2,-2.9652696,--,--,--
5,stimuli\Barackemaybe.png,1,4,245.68274,246.71054,251.92703,5.236466,1,74,stimuli\Barackemaybe.png,2,-5.1445894,--,--,--
6,stimuli\Fitnessmaybe.png,1,5,251.94711,252.99324,256.47665,3.5150843,20,92,stimuli\Fitnessmaybe.png,2,-3.4369905,--,--,--
7,stimuli\Filtunamaybe.png,1,6,256.50204,257.52637,260.70963,3.1838725,70,10,stimuli\Filtunamaybe.png,2,-2.9374542,--,--,--
8,stimuli\ParaChocolate.png,1,7,260.73065,261.7765,264.39307,2.649224,28,91,stimuli\ParaChocolate.png,2,-2.644906,--,--,--
9,stimuli\CocaCola2L.png,1,8,264.4164,265.45935,275.44223,9.996261,35,46,stimuli\CocaCola2L.png,2,-9.935449,--,--,--
10,stimuli\Neviot.PNG,1,9,275.46524,276.50912,278.74225,2.262036,45,84,stimuli\Neviot.PNG,2,-2.003571,--,--,--
11,stimuli\Tuna_ToGo.png,1,10,278.7994,279.84198,282.5087,2.7029812,80,14,stimuli\Tuna_ToGo.png,2,-2.564721,--,--,--
12,stimuli\ChocolateSpread.png,1,11,282.53333,283.55844,288.12515,4.5909758,20,10,stimuli\ChocolateSpread.png,2,-4.4506254,--,--,--
13,stimuli\Kikkoman.png,1,12,288.14993,289.19186,295.308,6.1160803,20,94,stimuli\Kikkoman.png,2,-5.8274407,--,--,--
14,stimuli\Smarties.PNG,1,13,295.34683,296.37485,298.32462,1.972306,0,34,stimuli\Smarties.PNG,2,-1.8607488,--,--,--
15,stimuli\Zipperbigbag.png,1,14,298.34756,299.37463,306.2742,6.9042745,40,7,stimuli\Zipperbigbag.png,2,-6.7145205,--,--,--
16,stimuli\Milka.PNG,1,15,306.3285,307.37387,309.6573,2.2938266,50,41,stimuli\Milka.PNG,2,-2.0787706,--,--,--
17,stimuli\Prince.PNG,1,16,309.7162,310.75748,313.12372,2.3819885,0,82,stimuli\Prince.PNG,2,-2.3061922,--,--,--
18,stimuli\Quakermaybe.png,1,17,313.14847,314.19067,317.84024,3.6566763,70,71,stimuli\Quakermaybe.png,2,-3.3550105,--,--,--
19,stimuli\GelDeLin.png,1,18,317.86432,318.89044,326.03998,7.1531115,35,37,stimuli\GelDeLin.png,2,-7.018993,--,--,--
20,stimuli\Cafeelite.png,1,19,326.08273,327.12335,331.32285,4.206373,6,84,stimuli\Cafeelite.png,2,-4.202101,--,--,--
21,stimuli\Heinz.png,1,20,331.35526,332.38986,336.88934,4.507111,50,32,stimuli\Heinz.png,2,-4.3012757,--,--,--
22,stimuli\Splendid.PNG,1,21,336.91138,337.93942,340.48944,2.5750196,0,22,stimuli\Splendid.PNG,2,-2.368932,--,--,--
23,stimuli\Tapuchips.PNG,1,22,340.52872,341.57236,345.1389,3.5766656,30,20,stimuli\Tapuchips.PNG,2,-3.237522,--,--,--
24,stimuli\Oreo.PNG,1,23,345.17963,346.22217,349.0887,2.8742604,60,35,stimuli\Oreo.PNG,2,-2.6184368,--,--,--
25,stimuli\YadMordechai.png,1,24,349.11346,350.13898,352.9887,2.8744974,80,69,stimuli\YadMordechai.png,2,-2.8629186,--,--,--
26,stimuli\Wissotzky.png,1,25,353.02707,354.05545,359.45486,5.4025455,20,54,stimuli\Wissotzky.png,2,-5.1625276,--,--,--
27,stimuli\Sano99.png,1,26,359.47644,360.52176,364.87158,4.3805156,90,68,stimuli\Sano99.png,2,-4.103027,--,--,--
28,stimuli\Chocolatemilk.png,1,27,364.8962,365.9212,369.25467,3.354182,80,6,stimuli\Chocolatemilk.png,2,-3.1795452,--,--,--
29,stimuli\Branflakes.png,1,28,369.30087,370.33792,374.30417,3.970033,58,78,stimuli\Branflakes.png,2,-3.813297,--,--,--
30,stimuli\FuzeTea.png,1,29,374.32706,375.37106,378.0873,2.728171,30,54,stimuli\FuzeTea.png,2,-2.4377642,--,--,--
31,stimuli\Branflakesextra.png,1,30,378.11197,379.1372,386.404,7.2888966,60,85,stimuli\Branflakesextra.png,2,-6.8953333,--,--,--
32,stimuli\Fitness_Chocolate.png,1,31,386.46326,387.50385,391.23694,3.7639608,20,25,stimuli\Fitness_Chocolate.png,2,-3.541979,102,18,Right
,,,,,,,,20,,,,,,,
,,,,,,,,80,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,80,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,50,,,,,,,
,,,,,,,,20,,,,,,,
,,,,,,,,61,,,,,,,
,,,,,,,,45,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,90,,,,,,,
,,,,,,,,70,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,90,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,90,,,,,,,
,,,,,,,,21,,,,,,,
,,,,,,,,25,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,30,,,,,,,
,,,,,,,,20,,,,,,,
,,,,,,,,60,,,,,,,
,,,,,,,,4,,,,,,,
,,,,,,,,0,,,,,,,
,,,,,,,,20,,,,,,,
,,,,,,,,45,,,,,,,
,,,,,,,,30,,,,,,,
