TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Wissotzky.png,1.0,0.0,394.65805,395.70343,398.96982,3.3004577,20.0,67.0,stimuli\Wissotzky.png,3.0,-3.2880332,--,--,--
2,stimuli\Chocolatemilk.png,1.0,1.0,398.9957,400.03656,403.00278,2.9806023,80.0,44.0,stimuli\Chocolatemilk.png,3.0,-2.6142507,--,--,--
3,stimuli\Colgatemaybe.png,1.0,2.0,403.02527,404.05267,409.58597,5.552728,50.0,51.0,stimuli\Colgatemaybe.png,3.0,-5.482798,--,--,--
4,stimuli\Oreo.PNG,1.0,3.0,409.626,410.66937,414.00226,3.345097,60.0,17.0,stimuli\Oreo.PNG,3.0,-3.1551914,--,--,--
5,stimuli\Barackemaybe.png,1.0,4.0,414.0248,415.06915,416.2361,1.1990683,0.0,24.0,stimuli\Barackemaybe.png,3.0,-0.834436,--,--,--
6,stimuli\Tuna_ToGo.png,1.0,5.0,416.2933,417.33536,419.3022,2.0057335,80.0,42.0,stimuli\Tuna_ToGo.png,3.0,-1.9119076,--,--,--
7,stimuli\GelDeLin.png,1.0,6.0,419.32755,420.36893,423.9353,3.5969715,30.0,44.0,stimuli\GelDeLin.png,3.0,-3.4017634,--,--,--
8,stimuli\Zipperbigbag.png,1.0,7.0,423.9586,424.9853,430.55145,5.5706353,30.0,47.0,stimuli\Zipperbigbag.png,3.0,-5.414581,--,--,--
9,stimuli\Heinz.png,1.0,8.0,430.58398,431.61832,435.13474,3.5421147,50.0,44.0,stimuli\Heinz.png,3.0,-3.286796,--,--,--
10,stimuli\Milka.PNG,1.0,9.0,435.1888,436.21817,438.70126,2.5123637,50.0,76.0,stimuli\Milka.PNG,3.0,-2.367155,--,--,--
11,stimuli\Fitnessmaybe.png,1.0,10.0,438.72153,439.75122,442.28455,2.5577388,20.0,29.0,stimuli\Fitnessmaybe.png,3.0,-2.3319862,--,--,--
12,stimuli\Quakermaybe.png,1.0,11.0,442.30856,443.33374,445.55093,2.2411518,61.0,31.0,stimuli\Quakermaybe.png,3.0,-1.8835195,--,--,--
13,stimuli\Neviot.PNG,1.0,12.0,445.57385,446.60095,450.6172,4.017389,45.0,18.0,stimuli\Neviot.PNG,3.0,-4.006745,--,--,--
14,stimuli\Branflakes.png,1.0,13.0,450.66345,451.7004,455.63358,3.9371257,60.0,6.0,stimuli\Branflakes.png,3.0,-3.553028,--,--,--
15,stimuli\YadMordechai.png,1.0,14.0,455.65793,456.70047,461.5337,4.866388,90.0,96.0,stimuli\YadMordechai.png,3.0,-4.5977173,--,--,--
16,stimuli\Filtunamaybe.png,1.0,15.0,461.5579,462.58347,464.68344,2.1241586,70.0,92.0,stimuli\Filtunamaybe.png,3.0,-2.0549855,--,--,--
17,stimuli\FuseTeaGreen.png,1.0,16.0,464.70627,465.73306,468.73294,3.001101,30.0,0.0,stimuli\FuseTeaGreen.png,3.0,-2.6851163,--,--,--
18,stimuli\KifKef.PNG,1.0,17.0,468.79373,469.83322,473.96622,4.1616964,90.0,48.0,stimuli\KifKef.PNG,3.0,-3.8899114,--,--,--
19,stimuli\Branflakesextra.png,1.0,18.0,473.99146,475.03287,479.1493,4.1436925,60.0,84.0,stimuli\Branflakesextra.png,3.0,-4.085992,--,--,--
20,stimuli\Sano99.png,1.0,19.0,479.171,480.21597,483.84888,3.6467805,90.0,73.0,stimuli\Sano99.png,3.0,-3.3633194,--,--,--
21,stimuli\Fitness_Chocolate.png,1.0,20.0,483.90744,484.9488,486.5824,1.6663445,21.0,22.0,stimuli\Fitness_Chocolate.png,3.0,-1.4499888,--,--,--
22,stimuli\ChocolateSpread.png,1.0,21.0,486.6059,487.632,494.38193,6.7751355,25.0,86.0,stimuli\ChocolateSpread.png,3.0,-6.508625,--,--,--
23,stimuli\Splendid.PNG,1.0,22.0,494.40384,495.4319,496.73163,1.303799,0.0,26.0,stimuli\Splendid.PNG,3.0,-0.98429406,--,--,--
24,stimuli\Prince.PNG,1.0,23.0,496.7899,497.83154,499.29837,1.5023776,0.0,89.0,stimuli\Prince.PNG,3.0,-1.3440351,--,--,--
25,stimuli\FuzeTea.png,1.0,24.0,499.32193,500.36508,506.548,6.217726,30.0,95.0,stimuli\FuzeTea.png,3.0,-6.161923,--,--,--
26,stimuli\Kikkoman.png,1.0,25.0,506.57373,507.6144,509.53162,1.9439995,20.0,8.0,stimuli\Kikkoman.png,3.0,-1.6124161,--,--,--
27,stimuli\Zippersmallbag.png,1.0,26.0,509.58282,510.61456,513.3475,2.7439332,60.0,88.0,stimuli\Zippersmallbag.png,3.0,-2.7157497,--,--,--
28,stimuli\Cafeelite.png,1.0,27.0,513.39075,514.431,517.1306,2.7061982,4.0,69.0,stimuli\Cafeelite.png,3.0,-2.333363,--,--,--
29,stimuli\Smarties.PNG,1.0,28.0,517.1699,518.21423,519.24744,1.0654932,0.0,56.0,stimuli\Smarties.PNG,3.0,-0.688989,--,--,--
30,stimuli\ParaChocolate.png,1.0,29.0,519.2681,520.3141,524.0807,3.79936,20.0,35.0,stimuli\ParaChocolate.png,3.0,-3.5163205,--,--,--
31,stimuli\CocaCola2L.png,1.0,30.0,524.10406,525.14685,529.4137,4.3015075,45.0,48.0,stimuli\CocaCola2L.png,3.0,-4.2861323,--,--,--
32,stimuli\Tapuchips.PNG,1.0,31.0,529.45135,530.4803,533.8468,3.3937738,30.0,1.0,stimuli\Tapuchips.PNG,3.0,-3.035401,102,18,Right
