TrialNumber,image,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,image_path,block,wait_time,subject,age,handedness
1,stimuli\Oreo.PNG,1,0,3.574668,4.621789,18.937801,14.333429,60,5,stimuli\Oreo.PNG,1,-14.288792,--,--,--
2,stimuli\GelDeLin.png,1,1,18.962025,20.004704,26.454107,6.462147,20,95,stimuli\GelDeLin.png,1,-6.3850436,--,--,--
3,stimuli\Tapuchips.PNG,1,2,26.492962,27.537365,38.17022,10.64773,30,59,stimuli\Tapuchips.PNG,1,-10.439561,--,--,--
4,stimuli\Prince.PNG,1,3,38.230778,39.253838,46.986473,7.7337856,0,2,stimuli\Prince.PNG,1,-7.595978,--,--,--
5,stimuli\Heinz.png,1,4,47.019855,48.05346,53.68615,5.6413717,50,25,stimuli\Heinz.png,1,-5.5092206,--,--,--
6,stimuli\Sano99.png,1,5,53.709053,54.753105,58.73623,4.0164366,80,8,stimuli\Sano99.png,1,-3.6892233,--,--,--
7,stimuli\Zippersmallbag.png,1,6,58.789265,59.819157,69.56904,9.779332,80,22,stimuli\Zippersmallbag.png,1,-9.549716,--,--,--
8,stimuli\KifKef.PNG,1,7,69.63165,70.669464,80.83489,10.169048,90,74,stimuli\KifKef.PNG,1,-10.103707,--,--,--
9,stimuli\ParaChocolate.png,1,8,80.85654,81.8851,88.21784,6.337368,20,72,stimuli\ParaChocolate.png,1,-6.326317,--,--,--
10,stimuli\Neviot.PNG,1,9,88.241425,89.26774,93.801216,4.555358,45,25,stimuli\Neviot.PNG,1,-4.174744,--,--,--
11,stimuli\Chocolatemilk.png,1,10,93.82784,94.8675,97.900894,3.0584943,80,90,stimuli\Chocolatemilk.png,1,-2.7869582,--,--,--
12,stimuli\Filtunamaybe.png,1,11,97.92598,98.96759,105.717285,6.7776675,70,59,stimuli\Filtunamaybe.png,1,-6.742252,--,--,--
13,stimuli\Splendid.PNG,1,12,105.73881,106.78392,109.21713,2.4634714,0,42,stimuli\Splendid.PNG,1,-2.138849,--,--,--
14,stimuli\Smarties.PNG,1,13,109.25586,110.28341,113.30015,3.0423794,0,81,stimuli\Smarties.PNG,1,-2.9326353,--,--,--
15,stimuli\Fitness_Chocolate.png,1,14,113.3589,114.4002,118.49989,4.125992,20,16,stimuli\Fitness_Chocolate.png,1,-4.1083903,--,--,--
16,stimuli\Kikkoman.png,1,15,118.52596,119.56661,124.41631,4.880874,40,65,stimuli\Kikkoman.png,1,-4.8329196,--,--,--
17,stimuli\FuseTeaGreen.png,1,16,124.43964,125.482735,129.43254,3.95873,30,76,stimuli\FuseTeaGreen.png,1,-3.9122205,--,--,--
18,stimuli\Barackemaybe.png,1,17,129.4551,130.48276,133.69899,3.221467,1,24,stimuli\Barackemaybe.png,1,-3.0514982,--,--,--
19,stimuli\Quakermaybe.png,1,18,133.72209,134.74892,141.4155,6.687651,75,91,stimuli\Quakermaybe.png,1,-6.468999,--,--,--
20,stimuli\Branflakes.png,1,19,141.46196,142.49854,146.9319,4.465433,70,95,stimuli\Branflakes.png,1,-4.2218556,--,--,--
21,stimuli\Colgatemaybe.png,1,20,146.95549,147.99828,154.56497,6.5974793,50,59,stimuli\Colgatemaybe.png,1,-6.542133,--,--,--
